구군명,위도,경도,총합계,데이터기준일자,위치명,구간시점,구간종점,식재거리 km,메타세콰이아,칠엽수,중국단풍,팽나무,튤립나무,단풍나무,벽오동,대왕참나무,감나무,산딸나무,모과나무,왕벚나무,느티나무,버즘나무,양버즘,이팝나무,회화나무,모감주,계수나무,가죽나무,황벽나무,수양버들,복자기,느릅나무,대추나무,후박나무,먼나무,해송,가시나무,구실잣밤나무,개잎갈나무,녹나무,참식,주목,아왜나무,은행나무,가이즈카향나무,기타나무
동구,35.13061535,129.0461119,46,2024-08-13,홍곡남로,부산서중,덕림아파트,680,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,
부산광역시 수영구,35.154311,129.124286,148,2023-12-31,부산광역시 수영구 민락수변이면도로,민락수변이면도로,민락수변이면도로,992, , , , , , , , , , , ,111, , , ,37, , , , , , , , , , , , , , , , , , , , , , 
부산광역시 수영구,35.1732581940,129.1114032037,12,2023-12-31,부산광역시 수영구 수미로14번길,동원로얄듀크,동원로얄듀크,250, , , , , , , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , 
부산광역시 수영구,35.1785561670,129.1134729645,60,2023-12-31,부산광역시 수영구 구락로141번길,코스트코,고려제강,405, , , , , , , , , , , ,60, , , , , , , , , , , , , , , , , , , , , , , , , , 
부산광역시 수영구,35.1678581114,129.1190448390,9,2023-12-31,부산광역시 수영구 감포로102번길,센텀동원비스타2차,센텀동원비스타2차,130, , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , , , , , , , , , , 
부산광역시 수영구,35.1742391414,129.1024467527,23,2023-12-31,부산광역시 수영구 망미배산로,수영 SK VIEW 아파트,수영 SK VIEW 아파트,195, , , , , , , , , , , ,23, , , , , , , , , , , , , , , , , , , , , , , , , , 
부산광역시 수영구,35.1756541102,129.1006203555,20,2023-12-31,부산광역시 수영구 망미배산로70번길,수영 SK VIEW 아파트,수영 SK VIEW 아파트,165, , , , , , , , , , , ,20, , , , , , , , , , , , , , , , , , , , , , , , , , 
부산광역시 수영구,35.1763507655,129.1027502851,24,2023-12-31,부산광역시 수영구 망미배산로48번길,수영 SK VIEW 아파트,수영 SK VIEW 아파트,280, , , , , , , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , 
부산광역시 수영구,35.1771565791,129.1013122870,32,2023-12-31,부산광역시 수영구 배산중로,수영 SK VIEW 아파트,수영 SK VIEW 아파트,315, , , , , , , , , , , ,32, , , , , , , , , , , , , , , , , , , , , , , , , , 
동구,35.13061535,129.0461119,92,2024-08-13,홍곡로,동남약국,초량육거리,890,,,,,,,,,,,,77,,,6,,,,,,,,,,,,,,,,,,,,,9,,
부산광역시 수영구,35.1752487718,129.1075172099,138,2023-12-31,부산광역시 수영구 과정로,망미오거리,연제구경계,1240, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,138, , 
부산광역시 수영구,35.1633975727,129.1192936290,115,2023-12-31,부산광역시 수영구 감포로,동방오거리,수영로경계,1018, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,115, , 
부산광역시 수영구,35.1551869852,129.1217706136,453,2023-12-31,부산광역시 수영구 광안해변로,메가마트,민락교차로,5070, , , , , , , , , , , ,355, , , ,54, , , , , , , , , , , ,44, , , , , , , , , , 
부산광역시 수영구,35.1390877972,129.1063853867,87,2023-12-31,부산광역시 수영구 황령대로,황령터널(남구경계),메가마트,1110, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,87, , 
부산광역시 수영구,35.1378182221,129.1097941389,25,2023-12-31,부산광역시 수영구 황령대로 509번길,부산도시가스,부산도시가스,200, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25, , 
부산광역시 수영구,35.1492847964,129.1128844780,23,2023-12-31,부산광역시 수영구 남천바다로,금련산역,광남로경계,245, , , , , , , , , , , , , , , , , , , , , , , , , , ,23, , , , , , , , , , , 
부산광역시 수영구,35.1555447100,129.1161224423,108,2023-12-31,부산광역시 수영구 광안로,SK뷰아파트,광남로경계,670, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,108, , 
부산광역시 수영구,35.1552675506,129.1136280037,15,2023-12-31,부산광역시 수영구 광안로 16번길,광안로경계,쌍용예가디오션,205, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15, , 
부산광역시 수영구,35.1625522735,129.1096750060,36,2023-12-31,부산광역시 수영구 광일로,광안사거리,광안하이츠빌라,800, , , , , , , , , , , ,36, , , , , , , , , , , , , , , , , , , , , , , , , , 
부산광역시 수영구,35.1546322806,129.1149676539,18,2023-12-31,부산광역시 수영구 수영로 554번길,광안로경계,쌍용예가디오션,465, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18, , 
부산광역시 수영구,35.1578855586,129.1120381812,13,2023-12-31,부산광역시 수영구 수영로 581번길,광안역,협성엠파이어C단지,200, , , , , , , , , , , , ,13, , , , , , , , , , , , , , , , , , , , , , , , , 
부산광역시 수영구,35.1585810742,129.1110713388,15,2023-12-31,부산광역시 수영구 수영로 587번길,광안진요양병원,삼강네오빌,240, , , , , , , , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , 
부산광역시 수영구,35.1741486613,129.1196941036,538,2023-12-31,부산광역시 수영구 좌수영로,수영교,연제구경계,2160, , , , , , , , , , , ,496,42, , , , , , , , , , , , , , , , , , , , , , , , , 
부산광역시 수영구,35.1797362447,129.1161130320,28,2023-12-31,부산광역시 수영구 좌수영로 179번길,좌수영로경계,코스트코,100, , , , , , , , , , , , , , , ,28, , , , , , , , , , , , , , , , , , , , , , 
부산광역시 수영구,35.1585283949,129.1289007418,39,2023-12-31,부산광역시 수영구 민락본동로,광안해변로경계,광남로경계,374, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,39, , 
부산광역시 수영구,35.1562839468,129.1348313346,243,2023-12-31,부산광역시 수영구 민락수변로,수영공영주차장,수영교,1130, , , , , , , , , , , ,227,16, , , , , , , , , , , , , , , , , , , , , , , , , 
부산광역시 기장군,35.317339,129.176489,733,2023-12-31,부산광역시 기장군 정관산단 진입로,곰내터널입구,환경관리공단, , , , , , , , , , , , , ,733, , , , , , , , , , , , , , , , , , , , , , , , , 
부산광역시 기장군,35.308052,129.114395,34,2023-12-31,부산광역시 기장군 입석길,입석마을,삼동보건진료소, , , , , , , , , , , , , , , , ,34, , , , , , , , , , , , , , , , , , , , , , 
부산광역시 동래구,35.1989595123,129.0577785701,15,2023-12-31,부산광역시 동래구 사직북로63번길,사직북로,국민시장입구,0.2, , , , , , , , , , , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , 
부산광역시 동래구,35.1920392682,129.1120151162,10,2023-12-31,부산광역시 동래구 온천천로531번길,연안로64번길,연안로74번길,0.09, , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , , , , , , , 
부산광역시 동래구,35.2188922100,129.0804974486,6,2023-12-31,부산광역시 동래구 금강공원로,온천교사거리,SK허브올리브아파트,0.03, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , 
부산광역시 동래구,35.2116473317,129.0786506658,466,2023-12-31,부산광역시 동래구 중앙대로,구 송월타올,온천장역,5.52, , , , , , , , , , , ,145,5, , , , , , ,7, , , , , , ,6, , , , , , , , ,293,10, 
부산광역시 동래구,35.2010622255,129.0874680775,532,2023-12-31,부산광역시 동래구 충렬대로,미남교차로,원동교,7.89, , , , , ,17, , , , , , ,3, , ,58, , , , , , , , , , , , ,22, , , , , , ,432, , 
부산광역시 동래구,35.2097528960,129.0731309236,76,2023-12-31,부산광역시 동래구 충렬대로107번길,온천2동주민센터,동래럭키아파트,0.3, , , , , , , , , , , , ,6, , , , , , , , , , , , , , , , , , , , , , ,70, , 
부산광역시 동래구,35.2004099276,129.0850447390,12,2023-12-31,부산광역시 동래구 충렬대로238번길,충렬대로,동래경찰서 뒤,0.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , 
