관리번호,대로별,설치장소,전자운영,설치일자,형태,구군,주소,위도,경도,데이터기준일자
16223, ,장안일반산업단지 S1점, , ,단일로,기장군,기장군 장안읍 반룡리 산96-9,35.33894668,129.258237,2023-07-25
16224, ,장안일반산업단지 S2점, , ,단일로,기장군,기장군 장안읍 반룡리 산 96-3,35.337017,129.257448,2023-07-25
16225, ,장안일반산업단지 S3점, , ,단일로,기장군,기장군 장안읍 반룡리 산108,35.33286323,129.2581756,2023-07-25
16226, ,장안일반산업단지 S4점, , ,단일로,기장군,기장군 장안읍 반룡리 산151-10,35.32911162,129.2600971,2023-07-25
16227, ,장안일반산업단지 2공구 S1지점, , ,단일로,기장군,기장군 장안읍 반룡리 산151-13,35.32752717,129.2607764,2023-07-25
16228, ,장안일반산업단지 2공구 S2지점, , ,단일로,기장군,기장군 장안읍 월내리 산45-12,35.32619223,129.2625924,2023-07-25
16229, ,장안사입구, , ,단일로,기장군,기장군 장안읍 장안리 411,35.37063708,129.2435322,2023-07-25
16231, ,일광해수욕장입구, , ,교차로,기장군,기장군 일광읍 일광로 72,35.26287707,129.2324415,2023-07-25
16232, ,일광고가교밑, , ,교차로,기장군,기장군 일광면 청광리 106-7,35.29144475,129.2356123,2023-07-25
16233, ,자갈밭횟집, , ,단일로,기장군,기장군 일광면 동백리 160-2,35.28857842,129.2565877,2023-07-25
16234, ,칠암 풍성농원앞(칠암마을회관입구), , ,단일로,기장군,기장군 일광읍 일광로 617,35.29724661,129.2585909,2023-07-25
16235, ,(군도14호)은진사 입구, , ,단일로,기장군,기장군 장안읍 길천리 442-1,35.33585727,129.2760634,2023-07-25
16236, ,길천사거리, , ,교차로,기장군,기장군 장안읍 길천리 227-13,35.32967353,129.2829173,2023-07-25
16237, ,(군도14호)4지점교차로, , ,단일로,기장군,기장군 장안읍 반룡리 240-2,35.34496328,129.267274,2023-07-25
16238, ,(군도14호)5지점교차로, , ,단일로,기장군,기장군 장안읍 반룡리 325,35.3475526,129.262738,2023-07-25
16239, ,반룡1교차로, , ,교차로,기장군,기장군 장안읍 기룡리 1065,35.34861136,129.2571548,2023-07-25
16240,기장대로,반룡교차로, , ,교차로,기장군,기장군 장안읍 기룡리 1059-1,35.35313109,129.2559047,2023-07-25
16241, ,하근교차로, , ,교차로,기장군,기장군 장안읍 기룡리 337-4,35.3490492,129.2566556,2023-07-25
16242, ,본리교차로, , ,교차로,기장군,기장군 장안읍 반룡리 433-6,35.34128654,129.2594503,2023-07-25
16243, ,반룡마을, , ,단일로,기장군,기장군 장안읍 반룡리 426,35.33999902,129.2619053,2023-07-25
16262, ,기장대선주조앞S1지점, , ,교차로,기장군,기장군 장안읍 기룡리 산58-4,35.35840476,129.2592873,2023-07-25
16267, ,한신더휴, , ,교차로,기장군,기장군 일광면 삼성리 627-1,35.26201157,129.2191309,2023-07-25
16269,기장대로,일광정관부락입구(청광리입구), , ,교차로,기장군,기장군 일광면 청광리 160-2,35.29507419,129.2367889,2023-07-25
16270, ,비스타동원2차 주출입구, , ,교차로,기장군,기장군 일광면 삼성리 868,35.26829301,129.2299078,2023-07-25
16271, ,비스타동원2차 부출입구(110동), , ,교차로,기장군,기장군 일광면 삼성리 891,35.26650138,129.2314743,2023-07-25
16272, ,국도31호선(S2지점), , ,교차로,기장군,기장군 장안읍 해맞이로 419,35.32924701,129.2814917,2023-07-25
16273, ,용암초등학교, , ,교차로,기장군,기장군 기장읍 기장해안로 577,35.22530193,129.2268633,2023-07-25
