군구,10.0대,120.0대,20.0대,30.0대,40.0대,50.0대,60.0대,70.0대,80.0대,nan대
강서구,5,1.0,158,372,332,216,114,19,1,1.0
금정구,11,0.0,269,316,303,275,120,18,4,0.0
기장군,6,0.0,195,359,505,315,132,23,0,0.0
남구,43,0.0,348,391,288,257,113,22,3,0.0
동구,1,0.0,76,112,90,74,35,8,0,0.0
동래구,17,1.0,258,282,263,169,83,14,0,0.0
부산진구,48,0.0,483,397,313,197,107,15,0,1.0
북구,12,0.0,187,175,198,179,92,16,0,0.0
사상구,11,0.0,219,261,279,260,118,21,0,0.0
사하구,12,0.0,200,268,267,236,123,15,2,0.0
서구,5,0.0,85,103,92,104,46,11,3,0.0
연제구,13,0.0,220,265,231,178,78,8,0,0.0
영도구,3,0.0,191,167,132,118,44,7,1,0.0
중구,4,0.0,55,68,79,49,30,1,0,0.0
해운대구,22,0.0,332,408,372,295,119,16,1,0.0
