"AGNC_DRVG_CMPN_ID","AGNC_DRVG_WDAR_ARA_SCTIN_NM","AGNC_DRVG_ARA_SCTIN_NM","AGNC_DRVG_CMPN_NM","AGNC_DRVG_RPRST_NM","AGNC_DRVG_TLNO","AGNC_DRVG_WEBS_NM",DATA_CONNO,"OPERT_TPCD","OCCRR_DTM","CNTCT_BGN_DTM","CNTCT_PRCES_DTM","CNTCT_PRCES_STCD","TRNSA_ID"
"DARW00001","서울","서울","Ns call 서비스","나윤호","080-555-9494",NULL,0,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00003","서울","서울","세븐콜","정홍기","1577-7777",NULL,1,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00005","서울","서울","(주)코리아드라이브","김동근","1577-1577",NULL,2,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00007","서울","서울","MRC대리운전","최창훈","02-858-1685",NULL,3,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00009","서울","서울","KM대리운전","정순재","02-512-3751",NULL,4,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00011","서울","서울","한강대리운전","김준호","1566-4444",NULL,5,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00013","서울","서울","일구대리운전","최성희","02-6901-1919",NULL,6,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00015","서울","서울","그린서비스","김인수","1588-9875",NULL,7,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00017","서울","서울","더베스트","최대용","02) 540-5779",NULL,8,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00019","서울","서울","우리들","전 욱",NULL,NULL,9,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00021","서울","서울","한마음대리운전","최용봉","02-333-9830",NULL,10,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00023","서울","서울","번개","장준혁",NULL,NULL,11,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00025","서울","서울","백두","백두열",NULL,NULL,12,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00027","서울","강남","캡","정진웅","1588-5315",NULL,13,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00029","서울","강남","크로바(영등포)","박정강","1588-5315",NULL,14,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00031","서울","강남","탑","최인식","1588-9991",NULL,15,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00033","서울","강남","토마토(여의도)","김태훈","080-544-8888",NULL,16,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00035","서울","강남","투데이콜","최인식","1588-8294",NULL,17,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00037","서울","강남","팔팔","유기환","080-080-0088",NULL,18,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00039","서울","강남","예스콜","하영환","080-650-0650",NULL,19,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00041","서울","강남","퍼스트클래스","이정민","080-0909-080",NULL,20,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00043","서울","강남","포유콜","이재연","080-0000-8888",NULL,21,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00045","서울","강남","(주)천사대리운전","이용표","1588-1004","www.1588-1004.co.kr",22,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00047","서울","강남","준서비스","조용기","080-77777-080",NULL,23,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00049","서울","강남","예스콜","조승현","080-6500-650",NULL,24,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00051","서울","강남","오렌지","설진호","080-000-0005",NULL,25,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00053","서울","강남","엘리트","배순구","1588-2285",NULL,26,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00055","서울","강남","오천사","김윤헌","080-555-1004",NULL,27,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00057","서울","강남","올투콜","김선권","02-2222-2222",NULL,28,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00059","서울","강남","우선","이승희",NULL,NULL,29,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00061","서울","강남","전국(마포)","김종호","1588-2322",NULL,30,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00063","서울","강남","좋은사람들","강현석","080-440-4321",NULL,31,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00065","서울","강남","피플콜","엄일섭","080-7070-080",NULL,32,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00067","서울","강남","하나","이한배","1600-7575",NULL,33,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00069","서울","강남","한길(영등포)","배헌기","080-002-0001",NULL,34,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00071","서울","강남","VIP대리운전","안현옥","1577-9900",NULL,35,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00073","서울","강남","중앙대리","김철환","1600-2239",NULL,36,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00075","서울","강남","나우콜","반재익","1588-1417",NULL,37,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00077","서울","강남","향우대리","김길완","1688-0880",NULL,38,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00079","서울","강남","긴급출동","배정화","02-878-7313",NULL,39,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00081","서울","강남","앰포스 코리아",NULL,"02-3444-2828",NULL,40,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00083","서울","강남","한국","남병길",NULL,NULL,41,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00085","서울","강남","안전콜(양천)","최원창",NULL,NULL,42,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00087","서울","강남","KD","이재훈","080-2222-7777",NULL,43,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00089","서울","강남","KD","윤성호","080-4444-2222",NULL,44,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00091","서울","강남","한길(잠실)","윤주열","080-080-1800",NULL,45,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00093","서울","강남","한사랑콜","한정민","1588-0933",NULL,46,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00095","서울","강남","한솔텔컴","최영관",NULL,NULL,47,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00097","서울","강남","한우리","민병삼","080-8888-080",NULL,48,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00099","서울","강남","한일","온은아","1644-9455",NULL,49,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00101","서울","강남","해피콜","이진성","080-3651-080",NULL,50,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00103","서울","강남","훼미리","안효진","080-009-7272",NULL,51,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00105","서울","강남","CM","정일기","02-400-0115",NULL,52,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00107","서울","강남","집으로","이대진","080-5588-080",NULL,53,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00109","서울","강남","에이스㈜","강연진","1588-2663",NULL,54,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00111","서울","강남","007대리운전","김경석","1600-0077",NULL,55,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00113","서울","강남","굿대리운전","송준영","1544-4333",NULL,56,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00115","서울","강남","굿모닝(관악)","이의철","1566-9485",NULL,57,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00117","서울","강남","굿모닝(영등포)","구부회","1588-4415",NULL,58,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00119","서울","강남","굿피플","임항재","1588-0855",NULL,59,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00121","서울","강남","그린콜","한낙중","1588-1030",NULL,60,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00123","서울","강남","글로벌서비스","박선구","1588-2567",NULL,61,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00125","서울","강남","기사콜","서정민","1588-9482",NULL,62,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00127","서울","강남","나이스(강남)","손태령","1544-1838",NULL,63,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00129","서울","강남","나인service",NULL,NULL,NULL,64,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00131","서울","강남","난","박기복","080-222-9999",NULL,65,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00133","서울","강남","넘버원","오은환","080-099-1111",NULL,66,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00135","서울","강남","공영리플","이성기","1577-8808",NULL,67,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00137","서울","강남","골든벨","이선주","1588-9495",NULL,68,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00139","서울","강남","골드","이승문","080-222-0114",NULL,69,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00141","서울","강남","999","박지수","080-999-9999",NULL,70,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00143","서울","강남","999","김태훈","080-999-8282",NULL,71,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00145","서울","강남","현우지엔씨","김승욱","1688-3333","www.hwgnc.co.kr",72,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00147","서울","강남","080서비스","김상수","080-080-1111",NULL,73,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00149","서울","강남","8200서비스","박석철","1644-8200",NULL,74,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00151","서울","강남","8282대리운전","박영준","02-8282-8282","www.8282-8282.net",75,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00153","서울","강남","88코리아","장세성","080-788-8888",NULL,76,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00155","서울","강남","가로수콜","박사원","080-4444-2222",NULL,77,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00157","서울","강남","가원대리운전","성옥성","1588-8622",NULL,78,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00159","서울","강남","강남","김지창","563-4636",NULL,79,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00161","서울","강남","강남","천영호","1588-8819",NULL,80,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00163","서울","강남","대경(강동)","성영숙","02-473-0278",NULL,81,"I","20201125000000",NULL,NULL,"N",NULL
"DARW00165","서울","강남","대신대리운전","최철수","1588-6673","www.7773call.co.kr",82,"I","20201125000000",NULL,NULL,"N",NULL
