교육년도,지부코드,교육구분,교육반 코드,1월 교육 인원,1월 일수,2월 교육 인원,2월 일수,3월 교육 인원,3월 일수,4월 교육 인원,4월 일수,5월 교육 인원,5월 일수,6월 교육 인원,6월 일수,7월 교육 인원,7월 일수,8월 교육 인원,8월 일수,9월 교육 인원,9월 일수,10월 교육 인원,10월 일수,11월 교육 인원,11월 일수,12월 교육 인원,12월 일수,총 교육 인원,총 교육 일수
2019,서울지부,특별교육,음주1회차,2624,31,2624,28,2624,31,2624,30,2624,31,2624,30,2624,31,2624,31,2624,30,2624,31,2624,30,2628,31,31492,365
2019,서울지부,특별교육,현장참여교육,2430,31,2430,28,2430,31,2430,30,2430,31,2430,30,2430,31,2430,31,2430,30,2430,31,2430,30,2437,31,29167,365
2019,서울지부,특별교육,법규준수,1529,31,1529,28,1529,31,1529,30,1529,31,1529,30,1529,31,1529,31,1529,30,1529,31,1529,30,1530,31,18349,365
2019,서울지부,긴급자동차,긴급자동차,232,31,232,28,232,31,232,30,232,31,232,30,232,31,232,31,232,30,232,31,232,30,242,31,2794,365
2019,서울지부,특별교육,벌점감경교육,156,31,156,28,156,31,156,30,156,31,156,30,156,31,156,31,156,30,156,31,156,30,160,31,1876,365
2019,서울지부,특별교육,음주2회차,71,31,71,28,71,31,71,30,71,31,71,30,71,31,71,31,71,30,71,31,71,30,79,31,860,365
2019,서울지부,특별교육,배려운전자,16,31,16,28,16,31,16,30,16,31,16,30,16,31,16,31,16,30,16,31,16,30,18,31,194,365
2019,서울지부,특별교육,음주3회차,5,31,0,28,0,31,0,30,0,31,0,30,0,31,0,31,0,30,0,31,0,30,0,31,5,365
2019,부산지부,특별교육,음주1회차,945,31,945,28,945,31,945,30,945,31,945,30,945,31,945,31,945,30,945,31,945,30,950,31,11345,365
2019,부산지부,특별교육,현장참여교육,875,31,875,28,875,31,875,30,875,31,875,30,875,31,875,31,875,30,875,31,875,30,881,31,10506,365
2019,부산지부,특별교육,법규준수,550,31,550,28,550,31,550,30,550,31,550,30,550,31,550,31,550,30,550,31,550,30,559,31,6609,365
2019,부산지부,긴급자동차,긴급자동차,83,31,83,28,83,31,83,30,83,31,83,30,83,31,83,31,83,30,83,31,83,30,94,31,1007,365
2019,부산지부,특별교육,벌점감경교육,56,31,56,28,56,31,56,30,56,31,56,30,56,31,56,31,56,30,56,31,56,30,60,31,676,365
2019,부산지부,특별교육,음주2회차,25,31,25,28,25,31,25,30,25,31,25,30,25,31,25,31,25,30,25,31,25,30,34,31,309,365
2019,부산지부,특별교육,배려운전자,5,31,5,28,5,31,5,30,5,31,5,30,5,31,5,31,5,30,5,31,5,30,15,31,70,365
2019,부산지부,특별교육,음주3회차,2,31,0,28,0,31,0,30,0,31,0,30,0,31,0,31,0,30,0,31,0,30,0,31,2,365
2019,대구지부,특별교육,음주1회차,888,31,888,28,888,31,888,30,888,31,888,30,888,31,888,31,888,30,888,31,888,30,889,31,10657,365
2019,대구지부,특별교육,현장참여교육,822,31,822,28,822,31,822,30,822,31,822,30,822,31,822,31,822,30,822,31,822,30,828,31,9870,365
2019,대구지부,특별교육,법규준수,517,31,517,28,517,31,517,30,517,31,517,30,517,31,517,31,517,30,517,31,517,30,521,31,6208,365
2019,대구지부,긴급자동차,긴급자동차,78,31,78,28,78,31,78,30,78,31,78,30,78,31,78,31,78,30,78,31,78,30,88,31,946,365
2019,대구지부,특별교육,벌점감경교육,52,31,52,28,52,31,52,30,52,31,52,30,52,31,52,31,52,30,52,31,52,30,63,31,635,365
2019,대구지부,특별교육,음주2회차,24,31,24,28,24,31,24,30,24,31,24,30,24,31,24,31,24,30,24,31,24,30,28,31,292,365
2019,대구지부,특별교육,배려운전자,5,31,5,28,5,31,5,30,5,31,5,30,5,31,5,31,5,30,5,31,5,30,11,31,66,365
2019,대구지부,특별교육,음주3회차,2,31,0,28,0,31,0,30,0,31,0,30,0,31,0,31,0,30,0,31,0,30,0,31,2,365
2019,인천지부,특별교육,음주1회차,1285,31,1285,28,1285,31,1285,30,1285,31,1285,30,1285,31,1285,31,1285,30,1285,31,1285,30,1293,31,15428,365
2019,인천지부,특별교육,현장참여교육,1190,31,1190,28,1190,31,1190,30,1190,31,1190,30,1190,31,1190,31,1190,30,1190,31,1190,30,1200,31,14290,365
2019,인천지부,특별교육,법규준수,749,31,749,28,749,31,749,30,749,31,749,30,749,31,749,31,749,30,749,31,749,30,750,31,8989,365
2019,인천지부,긴급자동차,긴급자동차,114,31,114,28,114,31,114,30,114,31,114,30,114,31,114,31,114,30,114,31,114,30,115,31,1369,365
2019,인천지부,특별교육,벌점감경교육,76,31,76,28,76,31,76,30,76,31,76,30,76,31,76,31,76,30,76,31,76,30,83,31,919,365
2019,인천지부,특별교육,음주2회차,35,31,35,28,35,31,35,30,35,31,35,30,35,31,35,31,35,30,35,31,35,30,36,31,421,365
2019,인천지부,특별교육,배려운전자,7,31,7,28,7,31,7,30,7,31,7,30,7,31,7,31,7,30,7,31,7,30,18,31,95,365
2019,인천지부,특별교육,음주3회차,3,31,0,28,0,31,0,30,0,31,0,30,0,31,0,31,0,30,0,31,0,30,0,31,3,365
2019,경기지부,특별교육,음주1회차,2209,31,2209,28,2209,31,2209,30,2209,31,2209,30,2209,31,2209,31,2209,30,2209,31,2209,30,2218,31,26517,365
2019,경기지부,특별교육,현장참여교육,2046,31,2046,28,2046,31,2046,30,2046,31,2046,30,2046,31,2046,31,2046,30,2046,31,2046,30,2054,31,24560,365
2019,경기지부,특별교육,법규준수,1287,31,1287,28,1287,31,1287,30,1287,31,1287,30,1287,31,1287,31,1287,30,1287,31,1287,30,1294,31,15451,365
2019,경기지부,긴급자동차,긴급자동차,196,31,196,28,196,31,196,30,196,31,196,30,196,31,196,31,196,30,196,31,196,30,197,31,2353,365
2019,경기지부,특별교육,벌점감경교육,131,31,131,28,131,31,131,30,131,31,131,30,131,31,131,31,131,30,131,31,131,30,140,31,1581,365
2019,경기지부,특별교육,음주2회차,60,31,60,28,60,31,60,30,60,31,60,30,60,31,60,31,60,30,60,31,60,30,62,31,722,365
2019,경기지부,특별교육,배려운전자,13,31,13,28,13,31,13,30,13,31,13,30,13,31,13,31,13,30,13,31,13,30,20,31,163,365
2019,경기지부,특별교육,음주3회차,5,31,0,28,0,31,0,30,0,31,0,30,0,31,0,31,0,30,0,31,0,30,0,31,5,365
2019,강원지부,특별교육,음주1회차,460,13,460,13,460,13,460,13,460,13,460,13,460,13,460,13,460,13,460,13,460,13,468,17,5528,160
2019,강원지부,특별교육,현장참여교육,426,9,426,9,426,9,426,9,426,9,426,9,426,9,426,9,426,9,426,9,426,9,434,9,5120,108
2019,강원지부,고령운전자,고령운전자의무,333,40,333,40,333,40,333,40,333,40,333,40,333,40,333,40,333,40,333,40,333,40,337,40,4000,480
