정류소 번호,정류소 아이디,정류소 명,GPS X 좌표,GPS Y 좌표,정류장 구분
01001,167970102,영주삼거리,129.0333218,35.11535576,일반
01002,169310303,영주삼거리,129.0330303,35.11528264,일반
01003,167970301,시민아파트,129.0317486,35.11514003,일반
01004,167840102,시민아파트,129.0321599,35.11492136,일반
01005,167970302,중앙공원.민주공원입구,129.0297622,35.11448686,일반
01006,167840101,중앙공원.민주공원입구,129.0300887,35.11434417,일반
01007,167840201,중앙공원.민주공원입구,129.0295785,35.11400551,일반
01008,167970201,동아아파트,129.0303551,35.11400452,일반
01009,168020203,동아아파트,129.0302883,35.11320109,일반
01010,167660301,부산터널위,129.0317722,35.11316598,일반
01011,167840202,동주파크맨션,129.0294742,35.11144249,일반
01012,167830103,동주파크맨션,129.0299042,35.1113486,일반
01013,168020202,금호아파트,129.030767,35.11152362,일반
01014,167970202,금호아파트,129.0305836,35.11111014,일반
01015,167840203,청운아파트,129.0304336,35.10960189,일반
01016,167830102,청운아파트,129.0307372,35.10961892,일반
01017,168020201,부산디지털고,129.0317187,35.10961592,일반
01018,167970203,부산디지털고,129.0320386,35.10944083,일반
01019,167840204,부산디지털고,129.0302842,35.10788024,일반
01020,167830101,부산디지털고,129.0309749,35.1079517,일반
01021,168020102,중구청.메리놀병원,129.0329333,35.10753447,일반
01022,167910201,중구청.메리놀병원,129.0340406,35.10769979,일반
01023,167910101,중구청.메리놀병원,129.0337202,35.10808872,일반
01024,167910102,거북맨션,129.0339339,35.10979623,일반
01025,168020101,거북맨션,129.033714,35.10973863,일반
01026,167910202,코모도호텔,129.0349543,35.11023405,일반
01027,167670201,영주신호대,129.0342964,35.11128258,일반
01028,167680201,영주동,129.0350043,35.11225491,일반
01029,167680101,영주동,129.0354109,35.11197094,일반
01036,167930101,2부두,129.0406715,35.10836418,일반
01037,169270201,2부두,129.0401062,35.10847059,일반
01044,169270202,연안여객터미널,129.0389702,35.10596514,일반
01045,167930102,연안여객터미널,129.0385223,35.1050391,일반
01046,167930201,부산세관,129.0373949,35.10405609,일반
01047,167710301,제일은행앞,129.0349157,35.10300244,일반
01048,167950102,백산기념관.영화체험박물관,129.0342469,35.10268257,일반
01052,167730101,부산항만공사,129.037607,35.10071612,일반
01053,211850401,부산항만공사,129.037958,35.10071924,일반
01058,208830101,중앙공원.민주공원,129.0286552,35.11270585,일반
01061,167960201,영도대교.남포역,129.0360163,35.09731831,일반
01062,167960202,영도대교.남포역,129.0358941,35.09761822,일반
01063,167850201,영도대교.남포역,129.0356322,35.09742844,일반
01064,167850202,영도대교,129.0358043,35.09695236,일반
01068,168000105,자갈치시장,129.0328471,35.09748069,일반
01069,168000104,자갈치시장,129.0322508,35.09746438,일반
01076,168000102,신동아시장,129.0293433,35.09709038,일반
01078,168000101,신동아시장,129.028956,35.09700133,일반
01080,167810401,서구청.충무동,129.0254847,35.09799375,일반
01083,167920101,부평시장,129.0252587,35.1011934,일반
01084,167770201,부평시장,129.0249701,35.10212831,일반
01085,167920501,남포주유소,129.0225306,35.10148508,일반
01088,167890101,보수초등학교,129.0237805,35.1055125,일반
01089,210000301,보수초등학교,129.0242581,35.10544678,일반
01090,167770301,보수사거리,129.024313,35.10326875,일반
01091,209980201,보수사거리,129.024395,35.10301697,일반
01092,167790201,국제시장,129.0286089,35.10284445,일반
01093,167790202,국제시장,129.0289521,35.10283595,일반
01095,167790203,국제시장,129.0298886,35.10279323,일반
01096,167790204,국제시장.부산근현대역사관,129.030568,35.10277284,일반
01097,167950301,국제시장,129.0304723,35.10304489,일반
01100,167950303,국제시장,129.0296161,35.10308166,일반
01101,167790101,새들맨션,129.0309537,35.10490038,일반
01102,167910301,새들맨션,129.0304882,35.10495707,일반
01103,168250101,중구종합사회복지관,129.0285908,35.10567175,일반
01104,167830201,중구종합사회복지관,129.0272822,35.10597296,일반
01105,168410206,보수아파트,129.0260552,35.10736415,일반
01106,168250301,보수아파트,129.0262382,35.10773648,일반
01107,168410205,혜광고교,129.0241266,35.10889537,일반
01110,167670202,코모도호텔,129.0347883,35.11003758,일반
01111,167780101,보수동책방골목,129.0266876,35.10293005,일반
01112,167790401,보수동책방골목,129.027011,35.10318762,일반
01113,167670203,코모도호텔입구,129.0342931,35.108105,일반
01115,504640000,중앙공원.민주공원입구,129.0296898,35.11356783,일반
01701,510030000,영주동,129.0371461,35.10954966,일반
01702,510020000,영주동,129.037155,35.10902683,일반
01703,510080000,중부경찰서삼거리,129.0362468,35.10756417,일반
01704,510130000,중앙역.중부경찰서삼거리,129.0362418,35.10670363,일반
01705,510120000,중앙역.부산우체국,129.036284,35.10333253,일반
01706,510110000,중앙역.부산우체국,129.0364216,35.10467297,일반
01707,509930000,부산데파트,129.0364297,35.1008113,일반
01708,509940000,부산데파트,129.036658,35.10051458,일반
01709,509840000,남포역.옛시청교차로,129.035766,35.09859655,일반
01710,509850000,남포역.옛시청교차로,129.0352678,35.09796509,일반
01711,509830000,남포동,129.0325367,35.09792981,일반
01712,509820000,남포동,129.0319439,35.09790371,일반
01713,510040000,자갈치역.비프광장,129.0295042,35.09812482,일반
01714,510050000,자갈치역.비프광장,129.0291745,35.09787351,일반
02002,168570301,구덕초등학교,129.0129313,35.1195851,일반
02003,168580101,구덕초등학교,129.0127091,35.11936457,일반
