구군명,위반일자,위반장소명
강서구,2023-01-03 18:48,국내선1층
강서구,2023-01-03 18:58,명지동 3272
강서구,2023-01-03 19:15,송정동 24번 교차로인근
강서구,2023-01-03 19:15,구랑동 1172-1
강서구,2023-01-03 19:18,송정동 24번 교차로인근
강서구,2023-01-03 19:41,송정동 24번 교차로인근
강서구,2023-01-03 20:03,국내선2층
강서구,2023-01-03 20:05,국내선1층
강서구,2023-01-03 20:41,에일린의 뜰 104동 주변
강서구,2023-01-03 20:42,노블랜드오션뷰101동주변
강서구,2023-01-03 21:29,대저1동 2388-3
강서구,2023-01-03 21:43,국내선2층
강서구,2023-01-03 21:48,노블랜드오션뷰104동주변
강서구,2023-01-03 21:56,국내선1층
강서구,2023-01-03 22:00,송정동 24번 교차로인근
강서구,2023-01-03 22:01,에일린의 뜰 104동 주변
강서구,2023-01-03 22:39,에일린의 뜰 104동 주변
강서구,2023-01-04 00:26,명지동 3431
강서구,2023-01-04 07:24,송정초등학교 교차로
강서구,2023-01-04 07:36,지사동 1224
강서구,2023-01-04 08:03,국내선2층
강서구,2023-01-04 08:05,대저2동 3135
강서구,2023-01-04 08:15,에일린의 뜰 104동 주변
강서구,2023-01-04 08:38,대저2동 3142
강서구,2023-01-04 09:08,글로벌새싹어린이집 인근
강서구,2023-01-04 09:12,노블랜드오션뷰104동주변
강서구,2023-01-04 09:13,노블랜드오션뷰104동주변
강서구,2023-01-04 09:17,에일린의 뜰 104동 주변
강서구,2023-01-04 09:38,노블랜드오션뷰104동주변
강서구,2023-01-04 09:50,명지동 3430
강서구,2023-01-04 09:57,글로벌새싹어린이집 인근
강서구,2023-01-04 10:08,꿈바위 어린이집인근
강서구,2023-01-04 10:38,송정동 1624
강서구,2023-01-04 11:42,미음동 1636-1
강서구,2023-01-04 12:27,구랑동 1261
강서구,2023-01-04 12:34,구랑동 1213-3
강서구,2023-01-04 12:53,녹산동 1343
강서구,2023-01-04 13:39,신호동 209-1
강서구,2023-01-04 14:29,녹산초등학교인근
강서구,2023-01-04 14:30,신호동 부영2차아파트 주
강서구,2023-01-04 14:34,에일린의 뜰 104동 주변
강서구,2023-01-04 14:34,금강펜테리움 2차 교차로
강서구,2023-01-04 14:43,노블랜드오션뷰101동주변
강서구,2023-01-04 14:59,명지동 3330
강서구,2023-01-04 15:13,국내선1층
강서구,2023-01-04 15:20,명지스타필드 주변
강서구,2023-01-04 15:28,명지동 3231
강서구,2023-01-04 15:33,에일린의 뜰 104동 주변
강서구,2023-01-04 15:34,지사동 1240
강서구,2023-01-04 15:36,지사동 1240
강서구,2023-01-04 15:39,노블랜드오션뷰104동주변
강서구,2023-01-04 15:44,노블랜드오션뷰104동주변
강서구,2023-01-04 15:47,글로벌새싹어린이집 인근
강서구,2023-01-04 15:55,꿈바위 어린이집인근
강서구,2023-01-04 16:07,화전동 629
강서구,2023-01-04 16:08,대방노블랜드2차인근
강서구,2023-01-04 16:28,미음동 1613
강서구,2023-01-04 16:44,명지동 3230-11
강서구,2023-01-04 16:46,명지동 3272
강서구,2023-01-04 16:48,명지동 3274
강서구,2023-01-04 16:48,명지동 3274
강서구,2023-01-04 16:49,명지동 3275
강서구,2023-01-04 16:50,명지동 3231
강서구,2023-01-04 16:50,명지동 3231
강서구,2023-01-04 16:50,명지동 3231
강서구,2023-01-04 16:51,명지동 3275
강서구,2023-01-04 17:03,명지동 3275
강서구,2023-01-04 17:03,봉림동 12-6
강서구,2023-01-04 17:06,송정동 1714
강서구,2023-01-04 17:17,대저2동 3151
강서구,2023-01-04 17:31,명지초등학교사거리인근
