부서명,단속일시,단속장소주소
교통행정과,2023-01-03 20:35:00,부곡동SK아파트 부근
교통행정과,2023-01-03 20:40:00,장전동역 2번출구
교통행정과,2023-01-03 20:46:00,금정등기소앞
교통행정과,2023-01-03 20:53:00,식물원입구 사거리
교통행정과,2023-01-03 21:07:00,서동 세웅병원 보강
교통행정과,2023-01-03 21:07:00,부산대 정문앞
교통행정과,2023-01-03 21:22:00,남산동GS슈퍼마켓앞
교통행정과,2023-01-03 21:30:00,서동 세웅병원 보강
교통행정과,2023-01-03 21:33:00,농협 남산지점 보강
교통행정과,2023-01-03 21:43:00,부곡동SK아파트 부근
교통행정과,2023-01-03 10:27:00,남산동 범어천로
교통행정과,2023-01-03 10:32:00,남산동 남산로
교통행정과,2023-01-03 10:32:00,남산동 남산로
교통행정과,2023-01-03 10:32:00,남산동 남산로
교통행정과,2023-01-03 10:43:00,남산동 금샘로
교통행정과,2023-01-03 10:46:00,청룡동 놀이마당로
교통행정과,2023-01-03 10:47:00,청룡동 놀이마당로
교통행정과,2023-01-03 10:49:00,회동동 금사로
교통행정과,2023-01-03 10:49:00,금사동 금사로
교통행정과,2023-01-03 10:50:00,금사동 금사로
교통행정과,2023-01-03 10:50:00,금사동 금사로
교통행정과,2023-01-03 10:51:00,금사동 개좌로
교통행정과,2023-01-03 10:56:00,금사동 개좌로
교통행정과,2023-01-03 11:00:00,서동 금사로
교통행정과,2023-01-03 14:37:00,구서동 중앙대로1901번길
교통행정과,2023-01-03 14:37:00,구서동 중앙대로1901번길
교통행정과,2023-01-03 14:39:00,구서동 중앙대로1929번길
교통행정과,2023-01-03 14:42:00,서동 서명로
교통행정과,2023-01-03 14:42:00,서동 서명로
교통행정과,2023-01-03 14:42:00,구서동 금강로565번길
교통행정과,2023-01-03 14:43:00,구서동 금샘로
교통행정과,2023-01-03 14:44:00,구서동 금샘로
교통행정과,2023-01-03 14:44:00,서동 서동중심로
교통행정과,2023-01-03 14:45:00,구서동 구서중앙로
교통행정과,2023-01-03 14:49:00,금사동 반송로
교통행정과,2023-01-03 14:50:00,금사동 반송로
교통행정과,2023-01-03 14:50:00,장전동 식물원로39번길
교통행정과,2023-01-03 14:51:00,금사동 반송로490번길
교통행정과,2023-01-03 14:52:00,금사동 반송로490번길
교통행정과,2023-01-03 14:52:00,금사동 삼어로
교통행정과,2023-01-03 14:53:00,장전동 금정로
교통행정과,2023-01-03 14:53:00,장전동 금정로
교통행정과,2023-01-03 14:54:00,구서동 금강로468번길
교통행정과,2023-01-03 14:54:00,구서동 금강로468번길
교통행정과,2023-01-03 14:54:00,장전동 부산대학로49번길
교통행정과,2023-01-03 14:55:00,장전동 부산대학로49번길
교통행정과,2023-01-03 14:55:00,장전동 부산대학로49번길
교통행정과,2023-01-03 15:12:00,금사동 반송로490번길
교통행정과,2023-01-03 15:37:00,장전동 금강로279번길
교통행정과,2023-01-03 15:37:00,장전동 금강로279번길
교통행정과,2023-01-03 15:41:00,장전동 부산대학로64번길
교통행정과,2023-01-03 15:41:00,장전동 부산대학로64번길
교통행정과,2023-01-03 15:45:00,장전동 금강로335번길
교통행정과,2023-01-03 15:51:00,장전동 부산대학로50번길
교통행정과,2023-01-03 15:59:00,장전동 부산대학로49번길
교통행정과,2023-01-03 15:59:00,장전동 부산대학로49번길
교통행정과,2023-01-03 16:05:00,장전동 금강로
교통행정과,2023-01-03 16:07:00,장전동 부산대학로63번길
교통행정과,2023-01-03 16:17:00,남산동 금샘로
교통행정과,2023-01-03 16:17:00,남산동 금샘로
교통행정과,2023-01-03 16:26:00,금사동 개좌로
교통행정과,2023-01-03 16:32:00,장전동 금샘로18번길
교통행정과,2023-01-03 16:42:00,남산동 남산로
교통행정과,2023-01-03 16:42:00,남산동 남산로
교통행정과,2023-01-03 16:42:00,남산동 남산로
교통행정과,2023-01-03 16:45:00,남산동 범어천로
교통행정과,2023-01-03 16:47:00,남산동 금강로
교통행정과,2023-01-03 16:47:00,남산동 범어천로
교통행정과,2023-01-03 16:48:00,남산동 범어천로
교통행정과,2023-01-03 16:48:00,장전동 부산대학로64번길
교통행정과,2023-01-03 16:48:00,장전동 부산대학로64번길
교통행정과,2023-01-03 16:49:00,남산동 범어천로
교통행정과,2023-01-03 16:50:00,장전동 부산대학로63번길
교통행정과,2023-01-03 16:51:00,장전동 부산대학로63번길
교통행정과,2023-01-03 16:51:00,남산동 금강로
교통행정과,2023-01-03 16:54:00,부곡동 동현로
교통행정과,2023-01-03 16:54:00,부곡동 동현로
교통행정과,2023-01-03 16:55:00,남산동 금샘로
교통행정과,2023-01-03 16:58:00,남산동 금샘로
교통행정과,2023-01-03 17:05:00,부곡동 부곡로168번길
교통행정과,2023-01-03 17:05:00,부곡동 기찰로
교통행정과,2023-01-03 17:07:00,부곡동 기찰로
교통행정과,2023-01-03 17:16:00,부곡동 윤산로
교통행정과,2023-01-03 07:14:00,남산동 901-4
교통행정과,2023-01-03 17:43:00,남산동 136-1
교통행정과,2023-01-03 17:48:00,남산동 18-1
교통행정과,2023-01-03 09:27:00,구서동 654-11
교통행정과,2023-01-03 11:27:00,남산동 120-1
교통행정과,2023-01-03 20:20:00,남산동 136-3
