해당구명,위반일자,위반시각,위반장소명
부산광역시 남구,2023-01-02,20:58,대연동 대천초삼거리CCTV
부산광역시 남구,2023-01-02,22:40,대연경성대부경대역CCTV(자전거도로)
부산광역시 남구,2023-01-02,22:55,대연동 렌즈미 앞 CCTV
부산광역시 남구,2023-01-02,23:15,대연동 렌즈미 앞 CCTV
부산광역시 남구,2023-01-02,10:42,대연동 유엔평화로22번길 40 부근
부산광역시 남구,2023-01-02,10:43,대연동 유엔평화로22번길 40 부근
부산광역시 남구,2023-01-02,10:52,문현동 고동골로 46 부근
부산광역시 남구,2023-01-02,14:16,문현동 전포대로 17 보람더하임 부근
부산광역시 남구,2023-01-02,14:30,감만동 무민사로 판테라 오피스텔 부근
부산광역시 남구,2023-01-02,14:31,감만동 무민사로 판테라 오피스텔 부근
부산광역시 남구,2023-01-02,14:31,감만동 무민사로 판테라 오피스텔 부근
부산광역시 남구,2023-01-02,14:32,감만동 무민사로 판테라 오피스텔 부근
부산광역시 남구,2023-01-02,14:33,감만동 무민사로 판테라 오피스텔 부근
부산광역시 남구,2023-01-02,14:34,감만동 무민사로 판테라 오피스텔 부근
부산광역시 남구,2023-01-02,14:35,감만동 무민사로 판테라 오피스텔 부근
부산광역시 남구,2023-01-02,16:00,문현동 전포대로 10 부근
부산광역시 남구,2023-01-02,16:00,문현동 전포대로 10 부근
부산광역시 남구,2023-01-02,16:02,문현동 전포대로20번길 이안아파트 부근
부산광역시 남구,2023-01-02,16:03,문현동 전포대로20번길 이안아파트 부근
부산광역시 남구,2023-01-02,20:09,대연동 수영로250번길 87 부근
부산광역시 남구,2023-01-02,20:15,대연동 유엔로157번길 까망머리 부근
부산광역시 남구,2023-01-02,20:15,대연동 유엔로157번길 까망머리 부근
부산광역시 남구,2023-01-02,20:16,대연동 유엔로157번길 까망머리 부근
부산광역시 남구,2023-01-02,20:17,대연동 유엔로157번길 까망머리 부근
부산광역시 남구,2023-01-02,20:18,대연동 유엔로157번길 까망머리 부근
부산광역시 남구,2023-01-02,20:18,대연동 유엔로157번길 88 부근
부산광역시 남구,2023-01-02,00:24,문현동 전포대로67번길 48 부근(횡단보도)
부산광역시 남구,2023-01-02,07:51,대연동 황령대로 329 부근(횡단보도)
부산광역시 남구,2023-01-02,10:41,용당동 신선로 301 부근(횡단보도)
부산광역시 남구,2023-01-02,12:14,대연동 수영로 155 부근(횡단보도)
부산광역시 남구,2023-01-02,14:40,용호동 동명로101번나길 37 부근
부산광역시 남구,2023-01-02,14:06,대연동 유엔로157번가길 80 부근
부산광역시 남구,2023-01-02,14:58,대연동 용소로64번길 43 부근
부산광역시 남구,2023-01-02,14:43,대연동 용소로64번길 38 부근
부산광역시 남구,2023-01-02,15:12,대연동 못골로 93 부근
부산광역시 남구,2023-01-02,16:25,우암동 장고개로 62 부근(인도)
부산광역시 남구,2023-01-02,17:07,대연동 천제등로 28 부근(횡단보도)
부산광역시 남구,2023-01-02,17:10,감만동 8부두로 100 부근(횡단보도)
부산광역시 남구,2023-01-02,17:10,대연동 용소로64번길 22 부근(교차로 모퉁이)
부산광역시 남구,2023-01-12,17:46,문현동 장고개로63번길 10 부근
부산광역시 남구,2023-01-12,17:50,문현동 전포대로 84 부근(인도)
부산광역시 남구,2023-01-12,17:41,문현동 장고개로63번길 18 부근
부산광역시 남구,2023-01-12,17:42,문현동 장고개로63번길 18 부근
부산광역시 남구,2023-01-12,17:43,문현동 장고개로63번길 18 부근
부산광역시 남구,2023-01-12,19:52,문현동 문현로66번길 2 부근(교차로모퉁이)
부산광역시 남구,2023-01-12,10:18,감만동 전선등로 8 부근
부산광역시 남구,2023-01-12,19:49,문현동 문현로 67 부근(횡단보도)
부산광역시 남구,2023-01-12,19:53,감만동 전선등로 15 부근
부산광역시 남구,2023-01-12,20:08,문현동 수영로18번길 36 부근(횡단보도)
부산광역시 남구,2023-01-12,20:13,대연동 수영로 212 부근
부산광역시 남구,2023-01-12,20:50,문현동 고동골로 29 부근
부산광역시 남구,2023-01-12,20:55,문현동 문현로 13 부근(교차로 모퉁이)
부산광역시 남구,2023-01-12,20:01,문현동 문현로 20 부근(횡단보도)
부산광역시 남구,2023-01-12,10:07,대연동 유엔평화로29번길 50 부근(교차로 모퉁이)
부산광역시 남구,2023-01-12,10:21,대연동 유엔평화로29번길 70 부근
부산광역시 남구,2023-01-12,10:21,대연동 유엔로183번길 41 부근
부산광역시 남구,2023-01-12,10:21,대연동 유엔로183번길 41 부근
부산광역시 남구,2023-01-12,10:38,대연동 유엔평화로29번길 92 부근
부산광역시 남구,2023-01-12,11:22,대연동 유엔로157번가길 46 부근
부산광역시 남구,2023-01-12,15:46,대연동 유엔평화로29번길 50 부근(교차로 모퉁이)
부산광역시 남구,2023-01-12,21:01,문현동 문현로 46-1 부근(인도)
부산광역시 남구,2023-01-13,14:31,대연동 신선로 불국정사 부근
부산광역시 남구,2023-01-13,18:53,용당동 유엔평화로125번길 더몽피시방 부근
부산광역시 남구,2023-01-13,14:25,문현동 지게골로 롯데슈퍼 부근
부산광역시 남구,2023-01-13,14:26,문현동 수영로 대림시티 플라자 부근
부산광역시 남구,2023-01-13,14:32,대연동 수영로 위니아딤채 부근
부산광역시 남구,2023-01-13,14:33,대연동 수영로176번길 6 부근
부산광역시 남구,2023-01-13,15:33,대연동 홍곡로 감만중학교 부근
부산광역시 남구,2023-01-13,16:00,우암동 우암로154번길 뉴서울아파트 부근
부산광역시 남구,2023-01-13,16:14,대연동 못골번영로 일동지에닌 아파트 부근
부산광역시 남구,2023-01-13,18:48,용당동 유엔평화로125번길 동방종합상사 부근
부산광역시 남구,2023-01-13,18:49,용당동 유엔평화로125번길 동방종합상사 부근
부산광역시 남구,2023-01-13,18:50,용당동 유엔평화로125번길 동방종합상사 부근
부산광역시 남구,2023-01-13,18:50,용당동 유엔평화로125번길 동방종합상사 부근
부산광역시 남구,2023-01-13,18:51,용당동 유엔평화로125번길 동방종합상사 부근
부산광역시 남구,2023-01-13,18:51,용당동 유엔평화로125번길 더몽피시방 부근
부산광역시 남구,2023-01-13,18:52,용당동 유엔평화로125번길 더몽피시방 부근
부산광역시 남구,2023-01-13,18:54,용당동 유엔평화로125번길 이안파크빌 부근
부산광역시 남구,2023-01-02,18:02,용호동 분포로 111 부근(횡단보도)
부산광역시 남구,2023-01-02,18:36,대연동 수영로 169 부근(인도)
부산광역시 남구,2023-01-02,18:37,대연동 수영로 169 부근(인도)
부산광역시 남구,2023-01-02,18:58,문현동 고동골로36번길 17 부근
부산광역시 남구,2023-01-02,15:12,감만동 우암로 42 부근(어린이보호구역)
부산광역시 남구,2023-01-02,15:23,감만동 우암로 65-1 부근(인도)
부산광역시 남구,2023-01-02,23:23,우암동 유엔로 22 부근(소방시설)
부산광역시 남구,2023-01-02,23:49,우암동 유엔로 22 부근(소방시설)
부산광역시 남구,2023-01-03,15:19,용호동 백운포로 해군작전사령부 부근
부산광역시 남구,2023-01-03,19:54,용호1동 분포로 145 부근
부산광역시 남구,2023-01-03,19:54,용호1동 분포로 145 부근
부산광역시 남구,2023-01-03,19:54,용호1동 분포로 145 부근
부산광역시 남구,2023-01-03,19:55,용호1동 분포로 145 부근
부산광역시 남구,2023-01-03,19:55,용호1동 분포로 145 부근
부산광역시 남구,2023-01-03,19:55,용호1동 분포로 145 부근
부산광역시 남구,2023-01-03,19:55,용호1동 분포로 145 부근
부산광역시 남구,2023-01-03,19:55,용호1동 분포로 145 부근
부산광역시 남구,2023-01-03,19:57,용호동 GS하이츠자이아파트 부근
부산광역시 남구,2023-01-03,19:57,용호1동 분포로 145 부근
부산광역시 남구,2023-01-03,19:57,용호1동 분포로 145 부근
부산광역시 남구,2023-01-03,19:57,용호1동 분포로 145 부근
부산광역시 남구,2023-01-03,19:57,용호1동 분포로 145 부근
부산광역시 남구,2023-01-03,19:57,용호1동 분포로 145 부근
부산광역시 남구,2023-01-03,19:57,용호1동 분포로 145 부근
부산광역시 남구,2023-01-03,19:59,용호동 LG메트로시티2단지 부근
부산광역시 남구,2023-01-03,19:59,용호동 GS하이츠자이아파트 부근
부산광역시 남구,2023-01-03,20:00,용호동 GS하이츠자이아파트 부근
부산광역시 남구,2023-01-03,07:25,감만동 동원터미널1 CCTV
부산광역시 남구,2023-01-03,10:13,문현동 베스티움@앞CCTV
부산광역시 남구,2023-01-03,10:46,용호동 현대비치 앞 CCTV
부산광역시 남구,2023-01-03,11:00,용호동 용호시장 앞 CCTV
부산광역시 남구,2023-01-03,11:23,대연동 대천사거리 CCTV
부산광역시 남구,2023-01-03,11:24,대연동 금보맨션 앞 CCTV
부산광역시 남구,2023-01-03,14:15,문현동 베스티움@앞CCTV
부산광역시 남구,2023-01-03,14:21,감만동 감만부두부근CCTV
부산광역시 남구,2023-01-03,14:42,문현동 베스티움@앞CCTV
부산광역시 남구,2023-01-03,15:08,대연동 리마크빌뒤편CCTV
부산광역시 남구,2023-01-03,15:26,대연동 부경대정문앞CCTV
부산광역시 남구,2023-01-03,15:32,용호동 베스트부동산CCTV
부산광역시 남구,2023-01-03,15:33,대연경성대부경대역CCTV
부산광역시 남구,2023-01-03,15:40,대연동 금보맨션 앞 CCTV
부산광역시 남구,2023-01-03,15:41,감만동 동국제강 앞 CCTV
부산광역시 남구,2023-01-03,15:52,대연동 교보문고 앞 CCTV
부산광역시 남구,2023-01-03,16:02,문현동 성동초등학교CCTV
부산광역시 남구,2023-01-03,16:03,대연동 대천초삼거리CCTV
부산광역시 남구,2023-01-03,16:12,대연동 교보문고 앞 CCTV
부산광역시 남구,2023-01-03,16:14,용호동 용호사거리CCTV
부산광역시 남구,2023-01-03,16:15,용호동 용호사거리CCTV
부산광역시 남구,2023-01-03,17:10,대연 부산은행건너편CCTV
부산광역시 남구,2023-01-03,17:11,대연동 대천초삼거리CCTV
부산광역시 남구,2023-01-03,17:30,감만동 현대@사거리CCTV
부산광역시 남구,2023-01-03,17:50,대연동 수영로 219 CCTV
부산광역시 남구,2023-01-03,17:54,대연동 금보맨션 앞 CCTV
부산광역시 남구,2023-01-03,18:00,대연동 수영로 219 CCTV
부산광역시 남구,2023-01-03,18:02,대연동 남구청사거리CCTV
부산광역시 남구,2023-01-03,18:04,문현동 국제금융단지CCTV
부산광역시 남구,2023-01-03,18:05,대연동 용소로 12 CCTV
부산광역시 남구,2023-01-03,18:09,용호동 성모약국 앞 CCTV
부산광역시 남구,2023-01-03,18:12,대연동 금보맨션 앞 CCTV
