단속월,단속건수
2011-01-31,4077
2011-02-28,2734
2011-03-31,4059
2011-04-30,3657
2011-05-31,3945
2011-06-30,3933
2011-07-31,3529
2011-08-31,3894
2011-09-30,3251
2011-10-31,4130
2011-11-30,3935
2011-12-31,4178
2012-01-31,2873
2012-02-29,3018
2012-03-31,3325
2012-04-30,3639
2012-05-31,3407
2012-06-30,3068
2012-07-31,2901
2012-08-31,2585
2012-09-30,2404
2012-10-31,3079
2012-11-30,3527
2012-12-31,2991
2013-01-31,3427
2013-02-28,2521
2013-03-31,3268
2013-04-30,2858
2013-05-31,2922
2013-06-30,2537
2013-07-31,2958
2013-08-31,2335
2013-09-30,2034
2013-10-31,2517
2013-11-30,2706
2013-12-31,2029
2014-01-31,2675
2014-02-28,2723
2014-03-31,3072
2014-04-30,3292
2014-05-31,3013
2014-06-30,3005
2014-07-31,3051
2014-08-31,2588
2014-09-30,2255
2014-10-31,2916
2014-11-30,3076
2014-12-31,1896
2015-01-31,2859
2015-02-28,2672
2015-03-31,3522
2015-04-30,3421
2015-05-31,3368
2015-06-30,3126
2015-07-31,3218
2015-08-31,3244
2015-09-30,2929
2015-10-31,2278
2015-11-30,2072
2015-12-31,2445
2016-01-31,2609
2016-02-29,2629
2016-03-31,3128
2016-04-30,2713
2016-05-31,2717
2016-06-30,3385
2016-07-31,2604
2016-08-31,2691
2016-09-30,2321
2016-10-31,3009
2016-11-30,3140
2016-12-31,3137
2017-01-31,5549
2017-02-28,4540
2017-03-31,5001
2017-04-30,4592
2017-05-31,4485
2017-06-30,4288
2017-07-31,3689
2017-08-31,2172
2017-09-30,1339
2017-10-31,2588
2017-11-30,3006
2017-12-31,4383
2018-01-31,3906
2018-02-28,3547
2018-03-31,3570
2018-04-30,3529
2018-05-31,3767
2018-06-30,3037
2018-07-31,4060
2018-08-31,3760
2018-09-30,2908
2018-10-31,3007
2018-11-30,3577
2018-12-31,3296
2019-01-31,4703
2019-02-28,3193
2019-03-31,4204
2019-04-30,4054
2019-05-31,4302
2019-06-30,4236
2019-07-31,4256
2019-08-31,3517
2019-09-30,3343
2019-10-31,4937
2019-11-30,4896
2019-12-31,4307
2020-01-31,3967
2020-02-29,4698
2020-03-31,3132
2020-04-30,3863
2020-05-31,4134
2020-06-30,3442
2020-07-31,3359
2020-08-31,3903
2020-09-30,3391
2020-10-31,3873
2020-11-30,3129
2020-12-31,2665
2021-01-31,3256
2021-02-28,3271
2021-03-31,3683
2021-04-30,3545
2021-05-31,3846
2021-06-30,3926
2021-07-31,3336
2021-08-31,3020
2021-09-30,3428
2021-10-31,4303
2021-11-30,3428
2021-12-31,3557
2022-01-31,3005
2022-02-28,2093
2022-03-31,2261
2022-04-30,2615
2022-05-31,3327
2022-06-30,3201
2022-07-31,3299
2022-08-31,3379
2022-09-30,2533
2022-10-31,2303
2022-11-30,2444
2022-12-31,2571
2023-01-31,2273
2023-02-28,2936
2023-03-31,3376
2023-04-30,2961
2023-05-31,3005
2023-06-30,3291
2023-07-31,3625
2023-08-31,3944
2023-09-30,4212
2023-10-31,4367
2023-11-30,4092
2023-12-31,4121
2024-01-31,4106
2024-02-29,3659
2024-03-31,4167
2024-04-30,4174
2024-05-31,4236
2024-06-30,3655
2024-07-31,4092
2024-08-31,5337
2024-09-30,4726
2024-10-31,4827
2024-11-30,4958
2024-12-31,5569
