일련번호,단속일자,단속장소주소
1814,2023-01-05,부전동 신천대로62번길
1815,2023-01-05,부전동 새싹로52번길
1816,2023-01-05,부전동 새싹로
1817,2023-01-05,범천동 황령대로7번길
1818,2023-01-05,범천동 황령대로7번길
1819,2023-01-05,범천동 범일로192번길
1820,2023-01-05,범천동 범일로192번길
1821,2023-01-05,범천동 황령대로8번길
1822,2023-01-05,범천동 황령대로8번길
1823,2023-01-05,범천동 황령대로8번길
1824,2023-01-05,범천동 중앙번영로9번길
1825,2023-01-05,범천동 중앙번영로9번길
1826,2023-01-05,범천동 황령대로8번길
1827,2023-01-05,범천동 황령대로8번길
1828,2023-01-05,범천동 황령대로8번길
1829,2023-01-05,범천동 황령대로8번길
1830,2023-01-05,범천동 황령대로8번길
1831,2023-01-05,범천동 황령대로8번길
1832,2023-01-05,범천동 범일로192번길
1833,2023-01-05,범천동 범일로192번길
1834,2023-01-05,범천동 범일로192번길
1835,2023-01-05,범천동 범일로192번길
1836,2023-01-05,범천동 범일로192번길
1837,2023-01-05,범천동 범일로192번길
1838,2023-01-05,범천동 자유평화로37번길
1839,2023-01-05,범천동 자유평화로37번길
1840,2023-01-05,범천동 자유평화로37번길
1841,2023-01-05,범천동 자유평화로37번길
1842,2023-01-05,범천동 자유평화로37번길
1843,2023-01-05,범천동 자유평화로37번길
1844,2023-01-05,개금동 복지로8번길
1845,2023-01-05,개금동 복지로8번길
1846,2023-01-05,당감동 가야대로703번길
1847,2023-01-05,당감동 신천대로185번길
1848,2023-01-05,당감동 신천대로185번길
1849,2023-01-05,당감동 신천대로185번길
1850,2023-01-05,당감동 신천대로185번길
1851,2023-01-05,당감동 신천대로183번길
1852,2023-01-05,당감동 신천대로183번길
1853,2023-01-05,당감동 신천대로183번길
1854,2023-01-05,당감동 신천대로183번길
1855,2023-01-05,당감동 신천대로183번길
1856,2023-01-05,범천동 황령대로7번길
1857,2023-01-05,범천동 중앙대로
1858,2023-01-05,전포동 서전로57번길
1859,2023-01-05,전포동 서전로
1860,2023-01-05,전포동 서전로38번길
1861,2023-01-05,전포동 서전로38번길
1862,2023-01-05,전포동 서전로38번길
1863,2023-01-05,전포동 서전로38번길
1864,2023-01-05,전포동 서전로38번길
1865,2023-01-05,전포동 서전로38번길
1866,2023-01-05,전포동 서전로38번길
1867,2023-01-05,전포동 서전로38번길
1868,2023-01-05,전포동 서전로38번길
1869,2023-01-05,전포동 서전로38번길
1870,2023-01-05,전포동 서전로38번길
1871,2023-01-05,전포동 서전로38번길
1872,2023-01-05,전포동 서전로38번길
1873,2023-01-05,전포동 서전로38번길
1874,2023-01-05,전포동 서전로38번길
1875,2023-01-05,전포동 서전로38번길
1876,2023-01-05,전포동 서전로38번길
1877,2023-01-05,전포동 서전로38번길
1878,2023-01-05,전포동 전포대로223번길
1879,2023-01-05,전포동 서전로38번길
1880,2023-01-05,전포동 서전로38번길
1881,2023-01-05,전포동 서전로38번길
1882,2023-01-05,전포동 서전로46번길
1883,2023-01-05,전포동 서전로38번길
1884,2023-01-05,전포동 서전로38번길
1885,2023-01-05,전포동 서전로46번길
1886,2023-01-05,전포동 서전로46번길
1887,2023-01-05,부전동 중앙대로
1888,2023-01-05,부전동 서전로9번길
1889,2023-01-05,부전동 중앙대로756번길
1890,2023-01-05,전포동 전포대로
1891,2023-01-05,전포동 전포대로
1892,2023-01-05,전포동 전포대로
1893,2023-01-05,전포동 전포대로
1894,2023-01-05,전포동 전포대로
1895,2023-01-05,전포동 전포대로
1896,2023-01-05,양정동 중앙대로
1897,2023-01-05,양정동 양지로14번길
1898,2023-01-05,양정동 양지로14번길
1899,2023-01-05,양정동 중앙대로969번길
1900,2023-01-05,양정동 중앙대로969번길
1901,2023-01-05,양정동 중앙대로979번길
1902,2023-01-05,양정동 중앙대로979번길
1903,2023-01-05,양정동 중앙대로979번길
1904,2023-01-05,양정동 양지로5번길
1905,2023-01-05,양정동 중앙대로928번길
1906,2023-01-05,양정동 양정로6번길
1907,2023-01-05,양정동 중앙대로928번길
1908,2023-01-05,전포동 동천로
1909,2023-01-05,전포동 892-19
1910,2023-01-05,전포동 892-19
1911,2023-01-05,전포동 신천대로
1912,2023-01-05,부암동 백양순환로
1913,2023-01-05,부암동 백양순환로
1914,2023-01-05,부암동 백양순환로164길
1915,2023-01-05,당감동 당감로60번길
1916,2023-01-05,당감동 당감로60번길
1917,2023-01-05,당감동 당감로60번길
1918,2023-01-05,부암동 동평로181번길
1919,2023-01-05,부암동 동평로181번길
1920,2023-01-05,부암동 시민공원로19번길
1921,2023-01-05,부암동 시민공원로19번길
1922,2023-01-05,부암동 시민공원로19번길
1923,2023-01-05,부암동 시민공원로19번길
1924,2023-01-05,부암동 시민공원로19번길
1925,2023-01-05,부암동 신천대로
1926,2023-01-05,부암동 신천대로
1927,2023-01-05,초읍동 월드컵대로
1928,2023-01-05,초읍동 월드컵대로
1929,2023-01-05,초읍동 월드컵대로
1930,2023-01-05,초읍동 월드컵대로
1931,2023-01-05,초읍동 월드컵대로
1932,2023-01-05,초읍동 월드컵대로
1933,2023-01-05,초읍동 월드컵대로
1934,2023-01-05,초읍동 월드컵대로
1935,2023-01-05,초읍동 월드컵대로
1936,2023-01-05,초읍동 성지곡로
1937,2023-01-05,부암동 부암당산로
1938,2023-01-05,부암동 부암당산로
1939,2023-01-05,부암동 동평로116번길
1940,2023-01-05,부전동 중앙대로691번길
1941,2023-01-05,부전동 서면로
1942,2023-01-05,부전동 서면로
1943,2023-01-05,부전동 서면로
1944,2023-01-05,부전동 서면로
1945,2023-01-05,부전동 신천대로62번길
1946,2023-01-05,부전동 신천대로62번길
1947,2023-01-05,부전동 신천대로62번길
1948,2023-01-05,부전동 신천대로62번길
1949,2023-01-05,부전동 중앙대로680번길
1950,2023-01-05,부전동 중앙대로680번길
1951,2023-01-05,가야동 가야대로588번길
1952,2023-01-05,가야동 대학로46번길
1953,2023-01-05,개금동 복지로
1954,2023-01-05,개금동 복지로
1955,2023-01-05,개금동 복지로
1956,2023-01-05,개금동 복지로
1957,2023-01-05,개금동 복지로
1958,2023-01-05,개금동 복지로
1959,2023-01-05,개금동 복지로
1,2023-01-01,부전동 부전로
2,2023-01-01,부전동 중앙대로691번길
3,2023-01-01,부전동 가야대로784번길
4,2023-01-01,부전동 가야대로784번길
5,2023-01-01,부전동 부전로
6,2023-01-01,부전동 중앙대로756번길
7,2023-01-01,부전동 중앙대로756번길
8,2023-01-01,부전동 중앙대로680번길
9,2023-01-01,부전동 중앙대로680번길
10,2023-01-01,부전동 중앙대로680번길
11,2023-01-01,부전동 중앙대로680번길
12,2023-01-01,부전동 중앙대로680번길
13,2023-01-01,전포동 전포대로209번길
14,2023-01-01,부전동 교보생명 주변
15,2023-01-01,부전동삼정타워주변
16,2023-01-01,전포동 전포초등학교정문
17,2023-01-01,부전동삼정타워주변
18,2023-01-01,네오스포 주변
19,2023-01-01,가평초등학교 주변
20,2023-01-01,개금초등학교
21,2023-01-01,네오스포 주변
22,2023-01-01,가평초등학교 주변
23,2023-01-01,네오스포 주변
24,2023-01-01,가평초등학교 주변
25,2023-01-01,범천동 e편한세상 주변
26,2023-01-01,범천동 e편한세상 주변
27,2023-01-01,전포동 전포초등학교정문
28,2023-01-01,네오스포 주변
29,2023-01-01,전포동 전포초등학교정문
30,2023-01-01,부전동삼정타워주변
31,2023-01-01,전포동 태영아너스 주변
32,2023-01-01,범천동e편한세상 보조
33,2023-01-01,전포동 태영아너스 주변
34,2023-01-01,범천동e편한세상 보조
35,2023-01-01,범천동 e편한세상 주변
36,2023-01-01,범천동 e편한세상 주변
37,2023-01-01,범천동e편한세상 보조
38,2023-01-01,범천동 e편한세상 주변
39,2023-01-01,네오스포 주변
40,2023-01-01,네오스포 주변
41,2023-01-01,부전동삼정타워주변
42,2023-01-01,네오스포 주변
43,2023-01-01,전포동 태영아너스 주변
44,2023-01-01,네오스포 주변
45,2023-01-01,범천동 e편한세상 주변
46,2023-01-01,네오스포 주변
47,2023-01-01,범천동e편한세상 보조
48,2023-01-01,범천동 e편한세상 주변
49,2023-01-01,범천동e편한세상 보조
50,2023-01-01,범천동e편한세상 보조
51,2023-01-01,범천동e편한세상 보조
52,2023-01-01,범천동e편한세상 보조
53,2023-01-01,전포동 태영아너스 주변
54,2023-01-01,범천동 e편한세상 주변
55,2023-01-01,범천동e편한세상 보조
56,2023-01-01,범천동e편한세상 보조
57,2023-01-01,전포동 태영아너스 주변
58,2023-01-01,범천동 e편한세상 주변
59,2023-01-01,범천동 e편한세상 주변
60,2023-01-01,네오스포 주변
61,2023-01-01,네오스포 주변
62,2023-01-01,범천동 e편한세상 주변
63,2023-01-01,범천동e편한세상 보조
64,2023-01-01,부전동삼정타워주변
65,2023-01-01,범천동e편한세상 보조
66,2023-01-01,전포동 태영아너스 주변
67,2023-01-01,범천동e편한세상 보조
68,2023-01-01,범천동e편한세상 보조
69,2023-01-01,골드테마거리 주변
70,2023-01-01,골드테마거리 주변
71,2023-01-01,전포동 태영아너스 주변
72,2023-01-01,가평초등학교 주변
73,2023-01-01,전포동 전포초등학교정문
74,2023-01-01,범천동 e편한세상 주변
75,2023-01-01,가평초등학교 주변
76,2023-01-01,범천동e편한세상 보조
77,2023-01-01,범천동e편한세상 보조
78,2023-01-01,연학초등학교
79,2023-01-01,전포동 전포초등학교정문
80,2023-01-01,범천동e편한세상 보조
81,2023-01-01,네오스포 주변
82,2023-01-01,네오스포 주변
83,2023-01-01,전포동 전포초등학교정문
84,2023-01-01,전포동 태영아너스 주변
85,2023-01-01,골드테마거리 주변
86,2023-01-01,동성초등학교
87,2023-01-01,네오스포 주변
88,2023-01-01,골드테마거리 주변
89,2023-01-01,범천동 e편한세상 주변
90,2023-01-01,범천동e편한세상 보조
91,2023-01-01,골드테마거리 주변
92,2023-01-01,범천동 e편한세상 주변
93,2023-01-01,범천동e편한세상 보조
94,2023-01-01,범천동e편한세상 보조
95,2023-01-01,동성초등학교
96,2023-01-01,골드테마거리 주변
97,2023-01-01,범천동e편한세상 보조
98,2023-01-01,네오스포 주변
99,2023-01-01,범천동e편한세상 보조
100,2023-01-01,가평초등학교 주변
101,2023-01-01,동성초등학교
