구분명,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
01월,4199,4244,2726,2942,4705,4749,4739,3651
02월,6243,3267,2473,3666,3697,3748,4982,2706
03월,5380,4148,3432,4844,4379,5284,4900,4197
04월,5126,3795,2785,4636,4058,6050,4347,3753
05월,5142,2688,3183,4594,4330,5474,3936,3387
06월,5044,3858,5307,4201,3228,5034,3881,4029
07월,5176,2796,3443,4326,4782,4787,4070,3390
08월,4219,2146,4078,4073,5477,5089,3770,3020
09월,3288,1680,2852,3568,4255,3595,3708,3629
10월,4325,2711,3740,3587,4903,4229,3538,3896
11월,4160,2639,3927,5155,4866,4013,3808,4553
12월,3451,2147,4364,4395,4156,4271,3631,3738
