기관명,위반일자,위반시각,위반장소명,데이터기준일자
부산광역시 사하구,2024-03-07,13:36:06,다대동 1-20,2024-11-30
부산광역시 사하구,2024-03-08,13:41:56,하단동 589-14,2024-11-30
부산광역시 사하구,2024-03-08,07:07:16,감천동 729,2024-11-30
부산광역시 사하구,2024-03-08,18:41:49,다대동 81-14,2024-11-30
부산광역시 사하구,2024-03-08,18:22:02,괴정동 403-43,2024-11-30
부산광역시 사하구,2024-03-09,10:09:31,당리동 356,2024-11-30
부산광역시 사하구,2024-03-09,19:36:47,당리동 544-1,2024-11-30
부산광역시 사하구,2024-02-25,19:43:55,다대동 820-5,2024-11-30
부산광역시 사하구,2024-03-13,18:02:39,감천동 729-1,2024-11-30
부산광역시 사하구,2024-03-14,18:26:41,괴정동 660-2,2024-11-30
부산광역시 사하구,2024-03-17,19:18:17,하단동 591,2024-11-30
부산광역시 사하구,2024-03-17,20:19:13,신평동 79-18,2024-11-30
부산광역시 사하구,2024-03-19,07:57:44,감천동 729,2024-11-30
부산광역시 사하구,2024-03-21,22:33:29,괴정동 1279,2024-11-30
부산광역시 사하구,2024-03-23,00:17:12,당리동 334,2024-11-30
부산광역시 사하구,2024-03-24,22:08:08,신평동 583,2024-11-30
부산광역시 사하구,2024-03-27,06:53:41,장림동 244-6,2024-11-30
부산광역시 사하구,2024-03-28,21:28:39,당리동 314,2024-11-30
부산광역시 사하구,2024-03-30,21:20:55,다대동 798-6,2024-11-30
부산광역시 사하구,2024-04-05,10:56:35,신평동 신산로,2024-11-30
부산광역시 사하구,2024-01-06,18:03:00,하단동 1188 부근 교차로 모퉁이,2024-11-30
부산광역시 사하구,2024-04-09,18:32:28,다대동 1639,2024-11-30
부산광역시 사하구,2024-04-18,10:17:32,신평동 신산로,2024-11-30
부산광역시 사하구,2024-04-14,07:59:19,다대동 1639,2024-11-30
부산광역시 사하구,2024-03-13,14:39:56,하단동 하단우체국,2024-11-30
부산광역시 사하구,2024-03-27,18:47:44,괴정동 사하로185번길,2024-11-30
부산광역시 사하구,2024-03-25,14:32:13,하단동 하단역1번출구,2024-11-30
부산광역시 사하구,2024-03-25,14:32:13,하단동 하단역1번출구,2024-11-30
부산광역시 사하구,2024-04-30,10:05:16,신평동 신산로,2024-11-30
부산광역시 사하구,2024-02-28,14:23:01,하단동 하신중앙로,2024-11-30
부산광역시 사하구,2024-01-09,16:52:00,하단동 599 부근 교차로 모퉁이,2024-11-30
부산광역시 사하구,2024-02-28,15:31:41,장림동 스마트W@사거리,2024-11-30
부산광역시 사하구,2024-02-29,09:24:43,장림동 스마트W@사거리,2024-11-30
부산광역시 사하구,2024-02-27,21:00:04,당리동 당리초등학교,2024-11-30
부산광역시 사하구,2024-02-14,09:55:28,장림동 장림로,2024-11-30
부산광역시 사하구,2024-02-14,09:55:28,장림동 장림로,2024-11-30
부산광역시 사하구,2024-02-28,21:13:24,하단동 동아대올리브영,2024-11-30
부산광역시 사하구,2024-02-29,20:42:24,하단동 491,2024-11-30
부산광역시 사하구,2024-02-28,14:18:02,하단동 낙동남로,2024-11-30
부산광역시 사하구,2024-02-24,09:36:55,괴정동회화나무샘터공원,2024-11-30
부산광역시 사하구,2024-02-26,10:03:21,하단동 하단우체국,2024-11-30
부산광역시 사하구,2024-02-26,17:13:00,다대동 1667,2024-11-30
부산광역시 사하구,2024-02-27,09:44:15,신평동 신산로,2024-11-30
부산광역시 사하구,2024-02-28,09:47:42,하단동 승학로3번길,2024-11-30
부산광역시 사하구,2024-02-28,17:49:31,신평동 하신번영로,2024-11-30
부산광역시 사하구,2024-03-06,14:13:38,당리동 낙동초등학교,2024-11-30
부산광역시 사하구,2024-03-27,14:02:34,다대동 세인트마린부출,2024-11-30
부산광역시 사하구,2024-01-26,22:28:00,장림동 스마트W@사거리,2024-11-30
부산광역시 사하구,2024-05-27,09:52:23,신평동 신산로,2024-11-30
부산광역시 사하구,2024-03-30,19:42:55,괴정동 오성장미아파트,2024-11-30
부산광역시 사하구,2024-02-13,06:54:51,괴정동 764-98,2024-11-30
부산광역시 사하구,2024-03-09,08:06:24,하단동 하단우체국,2024-11-30
부산광역시 사하구,2024-03-08,15:00:33,장림동 다대로,2024-11-30
부산광역시 사하구,2024-03-04,09:42:09,하단동 동매로9번길,2024-11-30
부산광역시 사하구,2024-03-06,09:47:12,신평동 신산로,2024-11-30
부산광역시 사하구,2024-02-24,10:32:50,당리동 당리초등학교,2024-11-30
부산광역시 사하구,2024-05-20,08:50:46,괴정동 971-6,2024-11-30
부산광역시 사하구,2024-04-25,21:05:48,감천동 119안전센터,2024-11-30
부산광역시 사하구,2024-04-20,17:17:15,하단동하단초등학교후문,2024-11-30
부산광역시 사하구,2024-04-06,20:14:47,하단동 동아대올리브영,2024-11-30
부산광역시 사하구,2024-04-12,09:31:36,하단동 하단역2번항플러,2024-11-30
부산광역시 사하구,2024-04-21,15:54:16,괴정동 213-9,2024-11-30
부산광역시 사하구,2024-05-27,15:36:12,하단동 동아대맥도날드,2024-11-30
부산광역시 사하구,2024-07-05,10:28:57,신평동 강동병원,2024-11-30
부산광역시 사하구,2024-05-09,12:39:42,하단동 865-7,2024-11-30
부산광역시 사하구,2024-06-21,16:28:16,부산광역시 사하구 다대동 680-3,2024-11-30
부산광역시 사하구,2024-08-01,15:01:36,다대동 두송중학교,2024-11-30
부산광역시 사하구,2024-08-01,09:22:38,장림동 경희병원,2024-11-30
부산광역시 사하구,2024-08-01,21:06:58,하단동 하구언3차@,2024-11-30
부산광역시 사하구,2024-08-01,15:46:47,다대동 두송중학교,2024-11-30
부산광역시 사하구,2024-08-01,14:08:46,하단동 을숙도초등학교,2024-11-30
부산광역시 사하구,2024-08-01,21:42:08,다대동 세인트마린부출,2024-11-30
부산광역시 사하구,2024-08-01,19:58:20,괴정동 뉴코아아울렛,2024-11-30
부산광역시 사하구,2024-08-01,21:29:40,다대동 두송방파제,2024-11-30
부산광역시 사하구,2024-08-01,21:35:48,하단동 하구언3차@,2024-11-30
부산광역시 사하구,2024-08-01,14:03:32,신평동 강동병원,2024-11-30
부산광역시 사하구,2024-08-01,10:37:55,신평동 신남초등학교,2024-11-30
부산광역시 사하구,2024-08-01,21:06:18,장림동 스마트W@사거리,2024-11-30
부산광역시 사하구,2024-08-01,15:31:47,당리동 박동물병원,2024-11-30
부산광역시 사하구,2024-08-01,20:36:01,하단동 하구언3차@,2024-11-30
부산광역시 사하구,2024-08-01,21:03:05,하단동 하단초등학교,2024-11-30
부산광역시 사하구,2024-08-01,20:18:01,괴정동 오성장미아파트,2024-11-30
부산광역시 사하구,2024-08-01,15:55:00,괴정동 오성장미아파트,2024-11-30
부산광역시 사하구,2024-08-01,09:42:27,다대동 중현초등학교,2024-11-30
부산광역시 사하구,2024-08-01,09:44:01,하단동 하단우체국,2024-11-30
부산광역시 사하구,2024-08-01,14:06:52,당리동 낙동초등학교,2024-11-30
부산광역시 사하구,2024-08-01,18:38:54,다대동 다대농협,2024-11-30
부산광역시 사하구,2024-08-01,20:45:43,장림동 동일스위트사거리,2024-11-30
부산광역시 사하구,2024-08-01,19:02:39,장림동 스마트W@사거리,2024-11-30
부산광역시 사하구,2024-08-01,14:19:55,하단동 하단초등학교,2024-11-30
부산광역시 사하구,2024-08-01,15:29:41,괴정동 오성장미아파트,2024-11-30
부산광역시 사하구,2024-08-01,17:21:39,하단동 하단초등학교,2024-11-30
부산광역시 사하구,2024-08-01,18:44:44,다대동 두송중학교,2024-11-30
부산광역시 사하구,2024-08-01,14:09:12,다대동 두송중학교,2024-11-30
부산광역시 사하구,2024-08-01,14:23:24,신평동 우주염색 주변,2024-11-30
부산광역시 사하구,2024-08-01,20:48:44,하단동 하단우체국,2024-11-30
부산광역시 사하구,2024-08-01,08:53:08,괴정동 오성장미아파트,2024-11-30
부산광역시 사하구,2024-08-01,16:37:41,장림동 스마트W@사거리,2024-11-30
부산광역시 사하구,2024-08-01,21:23:02,하단동 하단우체국,2024-11-30
부산광역시 사하구,2024-08-01,14:04:23,괴정동 오성장미아파트,2024-11-30
부산광역시 사하구,2024-08-01,14:32:31,장림동 스마트W@사거리,2024-11-30
부산광역시 사하구,2024-08-01,16:59:22,신평동 강동병원,2024-11-30
부산광역시 사하구,2024-08-01,15:16:01,하단동 하단우체국,2024-11-30
부산광역시 사하구,2024-08-01,19:56:38,다대동 두송중학교,2024-11-30
부산광역시 사하구,2024-08-01,17:42:47,다대동 탑마트다대점앞,2024-11-30
부산광역시 사하구,2024-08-01,17:11:14,장림동 스마트W@사거리,2024-11-30
부산광역시 사하구,2024-08-01,18:52:42,괴정동 뉴코아아울렛,2024-11-30
부산광역시 사하구,2024-08-01,10:15:14,신평동 우주염색 주변,2024-11-30
부산광역시 사하구,2024-08-01,16:20:21,하단동 하단우체국,2024-11-30
부산광역시 사하구,2024-08-01,15:00:28,하단동 하단역2번항플러,2024-11-30
부산광역시 사하구,2024-08-01,09:12:07,당리동 국민은행,2024-11-30
부산광역시 사하구,2024-08-02,15:07:27,하단동 하단우체국,2024-11-30
부산광역시 사하구,2024-08-02,16:34:39,하단동 하단역4번프라임,2024-11-30
부산광역시 사하구,2024-08-02,15:03:25,당리동 낙동초등학교,2024-11-30
부산광역시 사하구,2024-08-02,18:03:55,감천동 119안전센터,2024-11-30
부산광역시 사하구,2024-08-02,20:33:18,하단동 삼성온누리약국,2024-11-30
부산광역시 사하구,2024-08-02,14:03:17,다대동 두송중학교,2024-11-30
부산광역시 사하구,2024-08-02,20:30:30,하단동 동아대맥도날드,2024-11-30
부산광역시 사하구,2024-08-02,10:04:46,당리동 눈사람안경점,2024-11-30
부산광역시 사하구,2024-08-02,17:44:34,하단동 동아대맥도날드,2024-11-30
부산광역시 사하구,2024-08-02,16:30:10,장림동 장림초등학교,2024-11-30
부산광역시 사하구,2024-08-02,17:37:05,당리동 국민은행,2024-11-30
부산광역시 사하구,2024-08-02,18:22:02,당리동 낙동초등학교,2024-11-30
부산광역시 사하구,2024-08-02,19:20:35,하단동 오거리약국,2024-11-30
부산광역시 사하구,2024-08-02,18:46:01,장림동 경희병원,2024-11-30
부산광역시 사하구,2024-08-02,19:45:51,다대동 두송중학교,2024-11-30
부산광역시 사하구,2024-08-02,08:05:17,다대동 두송중학교,2024-11-30
부산광역시 사하구,2024-08-02,19:38:37,하단동 오거리약국,2024-11-30
부산광역시 사하구,2024-08-02,10:37:48,다대동 다대농협,2024-11-30
부산광역시 사하구,2024-08-02,21:25:12,하단동 하구언3차@,2024-11-30
부산광역시 사하구,2024-08-02,10:31:38,다대동 다대농협,2024-11-30
부산광역시 사하구,2024-08-02,10:18:48,다대동 다대농협,2024-11-30
부산광역시 사하구,2024-08-02,18:40:43,감천동 119안전센터,2024-11-30
부산광역시 사하구,2024-08-02,19:27:14,장림동 스마트W@사거리,2024-11-30
부산광역시 사하구,2024-08-02,10:17:30,당리동 낙동초등학교,2024-11-30
부산광역시 사하구,2024-08-02,21:13:20,괴정동사하시장입구주변,2024-11-30
부산광역시 사하구,2024-08-02,18:20:54,다대동 두송중학교,2024-11-30
부산광역시 사하구,2024-08-02,16:00:18,다대동 중현초등학교,2024-11-30
부산광역시 사하구,2024-08-02,09:48:05,다대동 다대농협,2024-11-30
부산광역시 사하구,2024-08-02,21:15:32,다대동 다대농협,2024-11-30
부산광역시 사하구,2024-08-02,10:27:40,신평동 사하구청신청사,2024-11-30
부산광역시 사하구,2024-08-02,14:05:06,다대동 다대농협,2024-11-30
부산광역시 사하구,2024-08-02,17:28:33,신평동 강동병원,2024-11-30
부산광역시 사하구,2024-08-02,16:55:08,당리동 박동물병원,2024-11-30
부산광역시 사하구,2024-08-02,14:38:54,다대동코오롱@진입입구,2024-11-30
부산광역시 사하구,2024-08-02,17:10:34,신평동 우주염색 주변,2024-11-30
부산광역시 사하구,2024-08-02,20:12:06,하단동 하단역1번출구,2024-11-30
부산광역시 사하구,2024-08-02,08:39:38,장림동 효림초등학교,2024-11-30
부산광역시 사하구,2024-08-02,15:12:25,감천동 119안전센터,2024-11-30
부산광역시 사하구,2024-08-02,09:42:03,감천동 119안전센터,2024-11-30
부산광역시 사하구,2024-08-03,17:52:29,괴정동회화나무샘터공원,2024-11-30
부산광역시 사하구,2024-08-03,10:21:46,감천동 삼거리하성마트,2024-11-30
부산광역시 사하구,2024-08-03,18:19:05,다대동 두송방파제,2024-11-30
부산광역시 사하구,2024-08-03,10:20:14,다대동 두송중학교,2024-11-30
부산광역시 사하구,2024-08-03,18:19:53,괴정동 오성장미아파트,2024-11-30
부산광역시 사하구,2024-08-03,08:09:26,장림동 스마트W@사거리,2024-11-30
부산광역시 사하구,2024-08-03,10:45:50,다대동 다대농협,2024-11-30
부산광역시 사하구,2024-08-03,10:35:40,장림동 효림초등학교,2024-11-30
부산광역시 사하구,2024-08-03,15:08:04,당리동 당리초등학교,2024-11-30
부산광역시 사하구,2024-08-03,14:16:13,하단동 하단우체국,2024-11-30
부산광역시 사하구,2024-08-03,20:03:55,다대동 두송방파제,2024-11-30
부산광역시 사하구,2024-08-03,10:22:10,하단동 하단초등학교,2024-11-30
부산광역시 사하구,2024-08-03,09:02:48,괴정동 동주대입구,2024-11-30
부산광역시 사하구,2024-08-03,20:53:19,하단동 동아대맥도날드,2024-11-30
부산광역시 사하구,2024-08-03,18:09:18,괴정동 뉴코아아울렛,2024-11-30
부산광역시 사하구,2024-08-03,19:44:41,하단동 하구언3차@,2024-11-30
부산광역시 사하구,2024-08-03,20:00:40,하단동 동아대맥도날드,2024-11-30
부산광역시 사하구,2024-08-03,18:07:14,장림동 장림초등학교,2024-11-30
부산광역시 사하구,2024-08-03,18:26:57,다대동 중현초등학교,2024-11-30
부산광역시 사하구,2024-08-03,14:05:45,감천동 중앙U병원,2024-11-30
부산광역시 사하구,2024-08-03,16:02:45,괴정동 오성장미아파트,2024-11-30
부산광역시 사하구,2024-08-03,14:20:31,다대동 두송중학교,2024-11-30
부산광역시 사하구,2024-08-03,21:20:54,다대동 두송방파제,2024-11-30
부산광역시 사하구,2024-08-03,16:25:08,하단동 하단역2번항플러,2024-11-30
부산광역시 사하구,2024-08-03,21:22:56,하단동 동아대올리브영,2024-11-30
부산광역시 사하구,2024-08-03,18:43:11,다대동 두송중학교,2024-11-30
부산광역시 사하구,2024-08-03,14:04:19,하단동 하단우체국,2024-11-30
부산광역시 사하구,2024-08-03,18:52:46,다대동 두송방파제,2024-11-30
부산광역시 사하구,2024-08-03,21:32:47,장림동 스마트W@사거리,2024-11-30
부산광역시 사하구,2024-08-03,14:41:11,괴정동 오성장미아파트,2024-11-30
부산광역시 사하구,2024-08-03,09:38:22,다대동 중현초등학교,2024-11-30
부산광역시 사하구,2024-08-03,09:47:20,다대동 중현초등학교,2024-11-30
부산광역시 사하구,2024-08-03,14:44:37,괴정동 오성장미아파트,2024-11-30
부산광역시 사하구,2024-08-03,19:00:21,당리동 국민은행,2024-11-30
부산광역시 사하구,2024-08-03,15:14:47,하단동 하구언3차@,2024-11-30
부산광역시 사하구,2024-08-03,14:10:27,감천동 119안전센터,2024-11-30
부산광역시 사하구,2024-08-03,14:03:51,신평동 강동병원,2024-11-30
부산광역시 사하구,2024-08-03,17:45:36,다대동 두송방파제,2024-11-30
부산광역시 사하구,2024-08-03,09:45:24,신평동 강동병원,2024-11-30
부산광역시 사하구,2024-08-03,16:17:34,감천동 삼거리하성마트,2024-11-30
부산광역시 사하구,2024-08-03,19:41:58,다대동 두송중학교,2024-11-30
부산광역시 사하구,2024-08-03,14:16:28,다대동 두송중학교,2024-11-30
부산광역시 사하구,2024-08-03,19:52:39,감천동 119안전센터,2024-11-30
부산광역시 사하구,2024-08-03,08:05:42,하단동 하구언3차@,2024-11-30
부산광역시 사하구,2024-08-03,09:26:38,감천동 119안전센터,2024-11-30
부산광역시 사하구,2024-08-03,08:26:47,괴정동 뉴코아아울렛,2024-11-30
부산광역시 사하구,2024-08-03,08:27:22,하단동 하단우체국,2024-11-30
부산광역시 사하구,2024-08-03,14:51:12,하단동 하단역1번출구,2024-11-30
부산광역시 사하구,2024-08-04,20:37:21,다대동 두송방파제,2024-11-30
부산광역시 사하구,2024-08-04,19:56:59,다대동 두송방파제,2024-11-30
부산광역시 사하구,2024-08-04,14:04:16,다대동 두송중학교,2024-11-30
부산광역시 사하구,2024-08-04,08:04:15,하단동 하단우체국,2024-11-30
부산광역시 사하구,2024-08-04,14:56:11,하단동 동아대맥도날드,2024-11-30
부산광역시 사하구,2024-08-04,14:16:15,괴정동 대영불교사,2024-11-30
부산광역시 사하구,2024-08-04,16:42:34,신평동 강동병원,2024-11-30
부산광역시 사하구,2024-08-04,18:24:25,당리동 박동물병원,2024-11-30
부산광역시 사하구,2024-08-04,15:03:08,장림동장림시장중앙약국,2024-11-30
부산광역시 사하구,2024-08-04,08:14:05,다대동 두송중학교,2024-11-30
부산광역시 사하구,2024-08-04,19:55:34,다대동 환경공단사업소,2024-11-30
부산광역시 사하구,2024-08-04,08:05:30,감천동 119안전센터,2024-11-30
부산광역시 사하구,2024-08-04,10:13:02,장림동장림시장중앙약국,2024-11-30
부산광역시 사하구,2024-08-04,15:11:45,다대동 다대농협,2024-11-30
부산광역시 사하구,2024-08-04,19:34:10,다대동 환경공단사업소,2024-11-30
부산광역시 사하구,2024-08-04,10:16:38,하단동 하단역4번프라임,2024-11-30
부산광역시 사하구,2024-08-04,09:09:42,하단동 하단역5번출구,2024-11-30
부산광역시 사하구,2024-08-04,14:29:30,괴정동 괴정우체국,2024-11-30
부산광역시 사하구,2024-08-04,15:02:46,하단동 하단역1번출구,2024-11-30
부산광역시 사하구,2024-08-04,18:04:54,신평동 강동병원,2024-11-30
부산광역시 사하구,2024-08-04,16:53:42,괴정동사하시장입구주변,2024-11-30
부산광역시 사하구,2024-08-04,17:49:02,장림동 경희병원,2024-11-30
부산광역시 사하구,2024-08-04,21:30:06,괴정동회화나무샘터공원,2024-11-30
부산광역시 사하구,2024-08-04,10:31:20,하단동강변대로괴정2교,2024-11-30
부산광역시 사하구,2024-08-04,17:07:05,다대동 두송중학교,2024-11-30
부산광역시 사하구,2024-08-04,17:08:57,신평동 우주염색 주변,2024-11-30
부산광역시 사하구,2024-08-04,21:22:25,하단동 하단우체국,2024-11-30
부산광역시 사하구,2024-08-04,08:21:49,하단동 하단우체국,2024-11-30
부산광역시 사하구,2024-08-04,21:17:50,다대동 두송방파제,2024-11-30
부산광역시 사하구,2024-08-04,17:23:23,다대동 중현초등학교,2024-11-30
부산광역시 사하구,2024-08-04,19:32:03,장림동 스마트W@사거리,2024-11-30
부산광역시 사하구,2024-08-04,16:14:44,장림동 경희병원,2024-11-30
부산광역시 사하구,2024-08-04,18:40:12,다대동 두송방파제,2024-11-30
부산광역시 사하구,2024-08-04,14:45:41,다대동 두송중학교,2024-11-30
부산광역시 사하구,2024-08-04,15:52:46,괴정동사하시장입구주변,2024-11-30
부산광역시 사하구,2024-08-04,21:26:54,하단동 동아대올리브영,2024-11-30
부산광역시 사하구,2024-08-04,10:43:44,하단동 하단우체국,2024-11-30
부산광역시 사하구,2024-08-04,15:22:50,다대동 다대농협,2024-11-30
부산광역시 사하구,2024-08-04,14:25:16,괴정동 괴정우체국,2024-11-30
부산광역시 사하구,2024-08-04,15:33:23,다대동 두송중학교,2024-11-30
부산광역시 사하구,2024-08-04,19:04:35,장림동 스마트W@사거리,2024-11-30
부산광역시 사하구,2024-08-04,14:57:45,장림동 스마트W@사거리,2024-11-30
부산광역시 사하구,2024-08-04,19:36:35,당리동 국민은행,2024-11-30
부산광역시 사하구,2024-08-04,17:45:13,하단동 삼성온누리약국,2024-11-30
부산광역시 사하구,2024-08-04,18:07:07,괴정동 뉴코아아울렛,2024-11-30
부산광역시 사하구,2024-08-04,16:39:43,괴정동 오성장미아파트,2024-11-30
부산광역시 사하구,2024-08-04,17:19:11,괴정동 뉴코아아울렛,2024-11-30
부산광역시 사하구,2024-08-04,16:18:34,괴정동 오성장미아파트,2024-11-30
부산광역시 사하구,2024-08-04,08:32:50,장림동 동일스위트사거리,2024-11-30
부산광역시 사하구,2024-08-04,16:23:27,괴정동 오성장미아파트,2024-11-30
부산광역시 사하구,2024-08-04,17:10:07,다대동 두송중학교,2024-11-30
부산광역시 사하구,2024-08-04,14:14:25,괴정동 뉴코아아울렛,2024-11-30
부산광역시 사하구,2024-08-04,14:13:44,장림동 장림초등학교,2024-11-30
부산광역시 사하구,2024-08-04,20:45:14,하단동 하단우체국,2024-11-30
부산광역시 사하구,2024-08-04,14:23:28,괴정동사하시장입구주변,2024-11-30
부산광역시 사하구,2024-08-04,08:57:22,다대동 세인트마린부출,2024-11-30
부산광역시 사하구,2024-08-04,14:12:12,다대동 두송중학교,2024-11-30
부산광역시 사하구,2024-08-04,10:37:59,괴정동 오성장미아파트,2024-11-30
부산광역시 사하구,2024-08-04,08:16:16,다대동 환경공단사업소,2024-11-30
부산광역시 사하구,2024-08-04,08:13:56,장림동 스마트W@사거리,2024-11-30
부산광역시 사하구,2024-08-04,19:04:21,하단동 삼성온누리약국,2024-11-30
