위반일자,위반시각,위반장소명
2023-01-03,17:24,세병로
2023-01-03,17:46,법조타운거제역돔
2023-01-03,17:59,거제한일유앤아이
2023-01-03,17:59,하나은행 연산점 후문
2023-01-03,18:01,과정로344번길 사거리
2023-01-03,18:27,연산동 자이마트 주변
2023-01-03,18:57,세병로
2023-01-03,18:58,세병로
2023-01-03,19:50,연산9동 연제예식장 앞(스쿨존)
2023-01-03,20:55,오방맛길 고분로 31번길
2023-01-03,21:10,오방맛길 고분로 31번길
2023-01-03,21:22,연산동 자이마트 주변
2023-01-03,21:35,과정로344번길 사거리
2023-01-03,21:44,부산시청 사거리 주변
2023-01-03,21:46,거제한일유앤아이
2023-01-03,21:53,과정로344번길 사거리
2023-01-03,22:00,세병로
2023-01-03,22:05,세병로
2023-01-03,22:29,연산동 자이마트 주변
2023-01-03,22:48,과정로344번길 사거리
2023-01-03,10:25,"반송로13-8(신고,곡각)"
2023-01-03,11:58,"법원남로10번길7(신고,인도막음)"
2023-01-03,13:26,"연수로149(신고,곡각)"
2023-01-03,14:26,"과정로322번길(신고,소방)"
2023-01-03,18:18,"고분로112번길(신고,인도)"
2023-01-03,18:55,"과정로191번가길26(신고,곡각)"
2023-01-03,19:38,"연수로149(신고,곡각,횡단)"
2023-01-03,20:18,"과정로191번가길26(신고,곡각)"
2023-01-03,21:59,"중앙천로14번길(신고,곡각,소방)"
2023-01-03,22:01,"거제천로(신고,곡각)"
2023-01-03,22:03,"신촌로21(신고,곡각)"
2023-01-03,22:03,"거제천로(신고,곡각,인도)"
2023-01-03,22:06,"월드컵대로161(신고,인도)"
2023-01-03,22:08,"월드컵대로169(신고,인도)"
2023-01-03,22:11,"거제천로9번길2(신고,곡각,횡단)"
2023-01-03,22:42,"거제대로108번길16(신고,횡단)"
2023-01-03,22:59,"거제천로(신고,정류장)"
2023-01-03,23:05,"거제천로(신고,곡각)"
2023-01-03,23:04,"거제천로87번길(신고,곡각)"
2023-01-03,23:15,"거제천로110(신고,교차로,곡각,인도)"
2023-01-03,23:14,"거제천로109(신고,교차로,곡각,인도)"
2023-01-03,23:14,"거제천로109(신고,교차로,곡각,인도)"
2023-01-03,23:20,"거제천로118번길(신고,곡각)"
2023-01-03,23:26,"신촌로24-1(신고,곡각)"
2023-01-03,23:25,"신촌로24-1(신고,곡각,횡단)"
2023-01-03,23:25,"신촌로24-1(신고,횡단)"
2023-01-03,23:17,"신촌로(신고,횡단)"
2023-01-03,23:21,"신촌로24-11(신고,곡각)"
2023-01-03,21:26,"중앙대로1043번길(신고,곡각,횡단)"
2023-01-03,21:27,"시청로(신고,곡각,횡단)"
2023-01-03,21:32,"부산경찰청(신고,횡단)"
2023-01-03,21:38,"진연로(신고,곡각)"
2023-01-03,21:37,"진연로(신고,곡각,횡단)"
2023-01-04,08:20,연제구 연산동(스쿨존)
2023-01-04,08:22,연제구 연산동
2023-01-04,08:22,연제구 연산동(곡각)
2023-01-04,08:23,연제구 연산동
2023-01-04,08:24,연제구 연산동(인도횡단)
2023-01-04,08:49,거제동(자전거도로)
2023-01-04,08:55,"거제동(곡각횡단,스쿨존)"
2023-01-04,09:04,연제구 거제동(스쿨존)
2023-01-04,09:58,"거제동(곡각횡단,장사차)"
2023-01-04,10:00,연제구 거제동(횡단)
2023-01-04,10:00,연제구 거제동
2023-01-04,10:00,연제구 거제동
2023-01-04,10:01,연제구 거제동
2023-01-04,10:04,연제구 거제동
2023-01-04,10:08,연제구 거제동
2023-01-04,10:13,"연산동(안전지대,스쿨존)"
2023-01-04,10:20,연제구 연산동
2023-01-04,10:21,연제구 연산동
2023-01-04,10:21,연제구 연산동
2023-01-04,10:21,연제구 연산동
2023-01-04,10:22,연제구 연산동
2023-01-04,10:22,연제구 연산동
2023-01-04,10:22,연제구 연산동
2023-01-04,10:22,연제구 연산동
2023-01-04,10:34,연제구 연산동
2023-01-04,10:35,연제구 연산동
2023-01-04,10:35,연제구 연산동
2023-01-04,10:35,연제구 연산동
2023-01-04,10:35,연제구 연산동
2023-01-04,10:36,연제구 연산동
2023-01-04,11:02,연제구 연산동
2023-01-04,11:03,연제구 연산동(곡각횡단)
2023-01-04,11:04,연제구 연산동
2023-01-04,11:15,연제구 연산동
2023-01-04,14:14,"연산동(인도,스쿨존)"
2023-01-04,14:22,연제구 연산동
2023-01-04,14:24,연제구 연산동
2023-01-04,14:25,연제구 연산동
2023-01-04,14:26,연제구 연산동(곡각)
2023-01-04,14:26,연제구 연산동
2023-01-04,14:28,"연산동(곡각,인도,횡단)"
2023-01-04,14:30,연제구 연산동
2023-01-04,14:30,연제구 연산동
2023-01-04,14:30,연제구 연산동(곡각)
2023-01-04,14:31,연제구 거제동
2023-01-04,14:32,연제구 거제동
2023-01-04,14:32,연제구 거제동
2023-01-04,14:33,연제구 거제동
2023-01-04,14:34,연제구 거제동
2023-01-04,14:35,연제구 거제동
2023-01-04,14:35,연제구 거제동
2023-01-04,14:35,연제구 거제동
2023-01-04,14:35,연제구 거제동
2023-01-04,14:37,연제구 연산동
2023-01-04,14:37,연제구 연산동
2023-01-04,14:37,연제구 연산동
2023-01-04,14:39,연제구 거제동(정류장)
2023-01-04,14:39,연제구 연산동(횡단)
2023-01-04,14:39,연제구 거제동(곡각횡단)
2023-01-04,15:02,연제구 거제동(스쿨존)
2023-01-04,15:02,연제구 거제동(스쿨존)
2023-01-04,15:02,"거제동(곡각소방,스쿨존)"
2023-01-04,15:20,연제구 거제동
2023-01-04,15:55,연제구 연산동(곡각소방)
2023-01-04,15:55,"연산동(교차로,곡각)"
2023-01-04,15:55,연제구 연산동(스쿨존)
2023-01-04,15:55,연제구 연산동(스쿨존)
2023-01-04,15:57,연제구 연산동(스쿨존)
2023-01-04,15:58,"연산동(교차로,곡각)"
2023-01-04,15:59,"연산동(교차로,곡각)"
2023-01-04,15:59,연제구 연산동(스쿨존)
2023-01-04,15:59,"연산동(교차로,곡각)"
2023-01-04,16:00,연제구 연산동
2023-01-04,16:02,연제구 연산동
2023-01-04,16:03,연제구 연산동
2023-01-04,16:03,연제구 연산동
2023-01-04,16:03,연제구 연산동
2023-01-04,16:03,연제구 연산동
2023-01-04,16:03,연제구 연산동
2023-01-04,16:06,연제구 연산동
2023-01-04,16:06,연제구 연산동
2023-01-04,16:12,연제구 연산동
2023-01-04,16:17,"연산동(교차로,곡각)"
2023-01-04,19:48,연제구 연산동
2023-01-04,19:49,연제구 연산동
2023-01-04,19:49,연제구 거제동
2023-01-04,19:49,연제구 거제동
2023-01-04,19:49,연제구 거제동
2023-01-04,19:49,연제구 거제동
2023-01-04,19:56,연제구 거제동
2023-01-04,19:56,연제구 거제동
2023-01-04,19:56,연제구 거제동
2023-01-04,19:57,연제구 연산동
2023-01-04,19:57,연제구 연산동
2023-01-04,19:57,연제구 연산동
2023-01-04,20:11,연제구 연산동
2023-01-04,19:04,아시아드푸르지오
2023-01-04,20:05,거제동 현대홈타운
2023-01-04,20:07,연제롯데캐슬1
2023-01-04,20:09,오방맛길 고분로 31번길
2023-01-04,20:45,오방맛길 고분로 31번길
2023-01-04,21:48,연일시장 고개
2023-01-04,22:22,거제한일유앤아이
2023-01-04,22:25,오방맛길 고분로 31번길
2023-01-04,22:35,과정로344번길 사거리
2023-01-04,22:55,오방맛길 고분로 31번길
2023-01-04,12:07,"중앙천로(신고,인도)"
2023-01-04,12:27,"법원남로15번길29(신고,곡각)"
2023-01-04,14:38,"거제천로117(신고,곡각,소방)"
2023-01-04,17:29,"과정로278번길(신고,소방)"
2023-01-04,18:56,"고분로6(신고,소방)"
2023-01-04,19:15,"연천초등학교(신고,스쿨존)"
2023-01-04,21:08,"중앙천로35(신고,곡각)"
2023-01-04,21:01,"중앙천로81(신고,곡각)"
2023-01-04,21:18,"중앙천로(신고,인도)"
2023-01-04,20:53,"중앙천로86(신고,곡각,횡단)"
2023-01-04,21:39,"연수로87번길(신고,곡각)"
2023-01-04,21:42,"연수로87번길40(신고,곡각,횡단)"
2023-01-04,21:44,"연수로87번길(신고,곡각)"
2023-01-04,21:46,"연수로87번길(신고,곡각)"
2023-01-04,21:47,"월드컵대로420(신고,인도)"
2023-01-04,21:48,"연수로87번길(신고,곡각)"
2023-01-04,21:48,"연수로87번길(신고,곡각)"
2023-01-04,21:51,"연제로8번길78(신고,곡각,횡단)"
2023-01-04,21:59,"중앙대로1038번길(신고,곡각)"
2023-01-04,21:58,"중앙대로1038번길(신고,곡각)"
2023-01-04,22:04,"연산동1320-84(신고,횡단)"
2023-01-04,22:07,"중앙천로80번길1(신고,곡각)"
2023-01-04,22:11,"중앙대로1048번길24(신고,곡각)"
2023-01-04,22:15,"거제천로124번길(신고,곡각)"
2023-01-04,22:14,"중앙대로1050번길23(신고,곡각)"
2023-01-04,22:15,"중앙대로1054번길28(신고,곡각)"
2023-01-04,22:17,"월드컵대로153번길67(신고,곡각,횡단)"
2023-01-04,22:17,"월드컵대로111번길58(신고,곡각)"
2023-01-04,22:20,"중앙대로1050번길21(신고,곡각)"
2023-01-04,22:21,"중앙대로1054번길20(신고,곡각)"
2023-01-04,22:34,"중앙대로1054번길13(신고,곡각)"
2023-01-04,22:37,"중앙대로1054번길12(신고,곡각)"
2023-01-04,22:37,"중앙대로1054번길12(신고,곡각)"
2023-01-04,22:40,"중앙대로1050번길11(신고,곡각)"
2023-01-04,22:40,"중앙대로1052번길16(신고,곡각)"
2023-01-04,22:10,"중앙대로1048번길18(신고,곡각)"
2023-01-04,22:44,"중앙대로1054번길8(신고,곡각)"
2023-01-04,22:44,"중앙대로1054번길12(신고,곡각)"
2023-01-04,22:35,"중앙대로1054번길14(신고,곡각)"
2023-01-04,22:36,"중앙대로1054번길14(신고,곡각)"
2023-01-04,21:58,"신금로(신고,보도막음)"
2023-01-05,08:12,연제구 연산동
2023-01-05,08:13,연제구 연산동(스쿨존)
2023-01-05,08:13,연제구 연산동(스쿨존)
2023-01-05,08:14,연제구 연산동
2023-01-05,08:21,연제구 거제동(곡각소방)
2023-01-05,08:39,연제구 거제동
2023-01-05,08:40,연제구 거제동
2023-01-05,08:46,연제구 거제동
2023-01-05,08:46,연제구 거제동
2023-01-05,08:46,연제구 거제동
2023-01-05,08:46,연제구 거제동
2023-01-05,08:46,연제구 거제동
2023-01-05,08:46,연제구 거제동
2023-01-05,08:46,연제구 거제동
2023-01-05,08:46,연제구 거제동
2023-01-05,09:18,연제구 거제동
2023-01-05,09:42,연제구 연산동(인도)
2023-01-05,09:48,연제구 연산동(안전지대)
2023-01-05,09:48,연제구 연산동(안전지대)
2023-01-05,09:50,연제구 연산동
2023-01-05,09:51,연제구 연산동
2023-01-05,10:15,연제구 연산동
2023-01-05,10:15,연제구 연산동
2023-01-05,10:15,연제구 연산동
2023-01-05,10:15,연제구 연산동
2023-01-05,10:16,연제구 연산동
2023-01-05,10:16,연제구 연산동(곡각소방)
2023-01-05,10:19,연제구 거제동(곡각횡단)
2023-01-05,10:38,연제구 거제동
2023-01-05,10:38,연제구 거제동
2023-01-05,10:38,연제구 거제동
2023-01-05,10:38,연제구 거제동
2023-01-05,10:39,연제구 거제동
2023-01-05,10:40,연제구 거제동(인도)
2023-01-05,10:58,연제구 거제동
2023-01-05,10:58,연제구 연산동
2023-01-05,10:58,연제구 연산동
2023-01-05,10:58,연제구 연산동
2023-01-05,10:58,연제구 연산동
2023-01-05,10:58,연제구 거제동
2023-01-05,10:58,연제구 거제동(곡각)
2023-01-05,10:58,연제구 연산동
2023-01-05,10:58,연제구 연산동
2023-01-05,10:58,연제구 거제동
2023-01-05,11:07,연제구 연산동
2023-01-05,11:10,연제구 연산동
2023-01-05,14:26,연제구 연산동
2023-01-05,14:27,연제구 연산동(인도)
2023-01-05,14:28,연제구 거제동
2023-01-05,14:28,연제구 거제동(소방)
2023-01-05,14:29,연제구 거제동
2023-01-05,14:30,연제구 거제동
2023-01-05,14:30,연제구 거제동
2023-01-05,14:30,연제구 거제동
2023-01-05,14:30,연제구 거제동
2023-01-05,14:30,연제구 거제동
2023-01-05,14:34,"거제동(곡각,스쿨존)"
2023-01-05,14:42,연제구 연산동(인도)
2023-01-05,14:43,연제구 거제동(인도)
2023-01-05,14:48,연제구 거제동
2023-01-05,14:51,연제구 거제동(곡각횡단)
2023-01-05,14:54,연제구 거제동
2023-01-05,14:54,연제구 거제동
2023-01-05,14:58,연제구 연산동(소방)
2023-01-05,14:59,연제구 연산동
2023-01-05,15:00,연제구 연산동
2023-01-05,15:00,연제구 연산동
2023-01-05,15:01,연제구 연산동
2023-01-05,15:14,"연산동(인도,스쿨존)"
2023-01-05,15:33,연제구 연산동(스쿨존)
2023-01-05,15:35,"거제동(곡각인도,정류장)"
2023-01-05,15:36,연제구 거제동(곡각횡단)
2023-01-05,15:39,연제구 연산동
2023-01-05,15:39,연제구 연산동
2023-01-05,15:41,연제구 거제동(정류장)
2023-01-05,15:41,연제구 거제동(곡각인도)
2023-01-05,15:42,연제구 연산동
2023-01-05,15:42,연제구 연산동
2023-01-05,15:42,연제구 연산동
2023-01-05,15:42,연제구 연산동
2023-01-05,15:42,연제구 연산동
2023-01-05,15:42,연제구 연산동
2023-01-05,15:44,"연산동(곡각,인도,횡단)"
2023-01-05,15:46,연제구 연산동
2023-01-05,15:54,"연산동(곡각,스쿨존)"
2023-01-05,15:54,연제구 연산동(스쿨존)
2023-01-05,15:54,연제구 연산동(스쿨존)
2023-01-05,15:54,연제구 연산동(곡각)
2023-01-05,15:58,연제구 연산동(스쿨존)
2023-01-05,15:58,연제구 연산동(스쿨존)
2023-01-05,16:21,연제구 연산동
2023-01-05,16:22,연제구 연산동
2023-01-05,16:22,연제구 연산동
2023-01-05,16:22,연제구 연산동
2023-01-05,16:23,연제구 연산동
2023-01-05,16:23,연제구 연산동
2023-01-05,16:26,연제구 연산동(스쿨존)
2023-01-05,17:42,연제구 연산동(인도)
2023-01-05,18:41,연제구 연산동(인도)
2023-01-05,18:56,연제구 연산동
2023-01-05,18:56,연제구 연산동
2023-01-05,18:58,연제구 연산동
2023-01-05,18:59,연제구 연산동
2023-01-05,19:26,연제구 연산동
2023-01-05,19:27,연제구 연산동
2023-01-05,19:27,연제구 연산동
2023-01-05,19:31,연제구 거제동
2023-01-05,19:31,연제구 거제동
2023-01-05,19:32,연제구 연산동
2023-01-05,19:32,연제구 연산동
2023-01-05,19:32,연제구 연산동
2023-01-05,19:32,연제구 연산동
2023-01-05,19:32,연제구 연산동
2023-01-05,19:32,연제구 연산동
2023-01-05,19:32,연제구 연산동
2023-01-05,19:33,연제구 연산동
2023-01-05,19:33,연제구 거제동
2023-01-05,19:33,연제구 거제동
2023-01-05,19:33,연제구 거제동
2023-01-05,19:33,연제구 거제동
2023-01-05,19:33,연제구 거제동
2023-01-05,19:33,연제구 거제동(정류장)
2023-01-05,19:34,연제구 거제동
2023-01-05,19:34,연제구 거제동
2023-01-05,19:34,연제구 거제동
2023-01-05,19:34,연제구 거제동
2023-01-05,19:34,연제구 거제동
2023-01-05,19:35,연제구 거제동
2023-01-05,19:35,연제구 거제동
2023-01-05,19:35,연제구 거제동
2023-01-05,19:35,연제구 거제동
2023-01-05,19:35,연제구 거제동
2023-01-05,19:35,연제구 거제동
2023-01-05,19:35,연제구 거제동
2023-01-05,01:57,연산4동 하나외환은행
2023-01-05,02:46,연산4동 하나외환은행
2023-01-05,07:13,연제오방맛길-쌍용@
2023-01-05,07:13,월드컵대로 CMC건물주변
2023-01-05,07:19,창신초교정문2
2023-01-05,07:32,연제롯데캐슬1
2023-01-05,07:49,세병로
2023-01-05,08:28,연일시장 고개
2023-01-05,09:00,연산8 치안센터 주변
2023-01-05,09:51,세병로
2023-01-05,09:53,아시아드푸르지오
2023-01-05,10:31,거제센트럴자이
2023-01-05,10:37,부산지방법원 앞
2023-01-05,11:06,하나은행 연산점 후문
2023-01-05,11:10,부산은행 연서지점  주변
2023-01-05,14:17,물만골역 주변
2023-01-05,14:25,거학초교정문
2023-01-05,14:26,오방맛길 고분로 31번길
2023-01-05,14:34,거학초교정문
2023-01-05,15:00,포스코더샾-연천시장
2023-01-05,15:38,거제한일유앤아이
2023-01-05,15:39,세병로
2023-01-05,15:39,거제한일유앤아이
2023-01-05,15:52,연일시장 고개
2023-01-05,16:52,물만골역 주변
2023-01-05,16:53,과정초등학교 정문(스쿨존)
2023-01-05,17:00,과정로 토곡주유소 앞(소방)
2023-01-05,17:10,아시아드푸르지오
2023-01-05,17:17,호정메디칼주변
2023-01-05,17:43,연산동 서문교회
2023-01-05,17:53,과정로344번길 사거리
2023-01-05,18:01,법조타운거제역돔
2023-01-05,18:05,과정로344번길 사거리
2023-01-05,18:06,오방맛길 고분로 31번길
2023-01-05,18:24,부산지방법원 앞
2023-01-05,18:31,거제동 현대홈타운(스쿨존)
2023-01-05,18:42,창신초교주차장(스쿨존)
2023-01-05,19:07,연산동 자이마트 주변
2023-01-05,19:14,오방맛길 고분로 31번길
2023-01-05,19:22,호정메디칼주변
2023-01-05,19:27,세병로
2023-01-05,19:43,세병로
2023-01-05,19:52,연산더샵아파트 사거리
2023-01-05,20:23,부산시청 사거리 주변
2023-01-05,20:24,아시아드푸르지오
2023-01-05,20:35,오방맛길 고분로 31번길
2023-01-05,20:45,과정로344번길 사거리
2023-01-05,20:54,세병로
2023-01-05,20:58,과정초등학교 정문
2023-01-05,20:59,부산지방법원 앞
2023-01-05,21:04,거제동 현대홈타운
2023-01-05,21:07,과정로344번길 사거리
2023-01-05,21:18,과정로344번길 사거리
2023-01-05,21:29,거제한일유앤아이
2023-01-05,21:41,과정로344번길 사거리
2023-01-05,21:43,거제초교후문
2023-01-05,21:49,소방본부앞 사거리주변
2023-01-05,21:52,과정로344번길 사거리
2023-01-05,21:54,거제한일유앤아이
2023-01-05,22:01,연제오방맛길-쌍용@
2023-01-05,22:02,과정로344번길 사거리
2023-01-05,22:08,법조타운거제역돔
2023-01-05,22:24,지하철 배산역 앞
2023-01-05,22:34,과정로344번길 사거리
2023-01-05,22:37,오방맛길 고분로 31번길
2023-01-05,22:49,연산동 자이마트 주변
2023-01-05,22:56,오방맛길 고분로 31번길
2023-01-05,06:01,"월드컵대로184(신고,인도)"
2023-01-05,08:25,"세병로44(신고,인도)"
2023-01-05,09:51,"반송로13-8(신고,곡각)"
2023-01-05,10:18,"중앙천로(신고,인도)"
2023-01-05,12:37,"법원남로15번길19(신고,곡각)"
2023-01-05,12:52,"연수로89(신고,정류장)"
2023-01-05,13:10,"해맞이로67번길7(신고,곡각)"
2023-01-05,14:34,"연수로229-2(신고,인도)"
2023-01-05,20:01,"거제대로108번길54(신고,곡각,도로막음)"
2023-01-05,21:00,"과정로191번가길(신고,곡각)"
2023-01-05,21:11,"과정로191번길10(신고,곡각)"
2023-01-05,21:17,"과정로165(신고,곡각)"
2023-01-05,21:19,"과정로165-4(신고,곡각)"
2023-01-05,21:24,"중앙대로1043번길(신고,곡각,인도,횡단)"
2023-01-05,13:17,"연수로215(신고,곡각,횡단)"
2023-01-05,21:32,"부산경찰청(신고,인도,횡단)"
2023-01-05,21:32,"부산경찰청(신고,인도,횡단)"
2023-01-05,21:41,"거제천로57-1(신고,곡각,인도,횡단)"
2023-01-05,21:42,"거제천로57-1(신고,인도)"
2023-01-05,22:13,"거제대로108번길54(신고,곡각,횡단)"
2023-01-05,22:18,"거제대로96번길46(신고,곡각)"
2023-01-05,22:18,"거제대로96번길46(신고,곡각,횡단)"
2023-01-05,23:10,"거제천로87번길(신고,곡각,횡단)"
2023-01-05,23:12,"거제천로(신고,곡각,횡단)"
2023-01-05,23:15,"거제천로105(신고,곡각,횡단)"
2023-01-05,23:18,"거제시장로14번길64(신고,곡각)"
2023-01-05,23:21,"거제시장로22번길(신고,곡각)"
2023-01-05,23:21,"거제대로178번길50(신고,곡각)"
2023-01-05,23:22,"거제시장로22번길(신고,곡각)"
2023-01-05,23:26,"신촌로50(신고,곡각,횡단)"
2023-01-05,23:32,"거제천로116(신고,곡각,횡단)"
2023-01-05,23:31,"거제천로118(신고,곡각)"
2023-01-05,23:36,"거제천로118번길(신고,곡각)"
