위반일자,위반일시,위반장소명
2024-01-09 19:32,동삼동 327 교차로모퉁이,
2024-01-09 20:14,동삼동1184 소화전,
2024-01-09 10:21,봉래동3가137 교차로모퉁이,
2024-01-10 08:27,홈플러스영도점주변-3,
2024-01-10 09:34,대교초등학교 주변-2,
2024-01-10 10:57,Do한국해양교회,
2024-01-10 14:30,홈플러스영도점주변-3,
2024-01-10 15:01,영선아파트주변-2,
2024-01-10 15:13,영선불고기-3,
2024-01-10 16:09,영선불고기-1,
2024-01-10 16:21,남항동KT-2,
2024-01-10 16:49,2 영도 메디컬빌딩 부근,
2024-01-10 16:58,표주레미콘-1,
2024-01-10 17:02,영선불고기-2,
2024-01-10 17:44,대동대교맨션 주변-1,
2024-01-10 18:03,민재약국앞-1,
2024-01-10 18:06,동삼동농협 주변 보조카,
2024-01-10 18:58,대동대교맨션 주변-2,
2024-01-10 19:02,동삼동농협 주변 보조카,
2024-01-10 19:22,청동초등학교1-2,
2024-01-10 10:41,청학동 해양로,
2024-01-10 10:41,청학동 해양로,
2024-01-10 10:45,청학동 해양로,
2024-01-10 10:45,청학동 해양로,
2024-01-10 10:52,청학동 해양로,
2024-01-10 15:13,청학동 벚꽃길,
2024-01-10 15:19,동삼동 와치로,
2024-01-10 15:19,동삼동 와치로,
2024-01-10 15:20,동삼동 와치로,
2024-01-10 15:21,동삼동 중리로,
2024-01-10 09:59,봉래동3가 봉래나루로,
2024-01-10 09:59,봉래동3가 봉래나루로,
2024-01-10 10:00,봉래동3가 봉래나루로,
2024-01-10 10:00,봉래동3가 봉래나루로,
2024-01-10 10:00,봉래동3가 봉래나루로,
2024-01-10 10:00,봉래동3가 봉래나루로,
2024-01-10 10:00,봉래동3가 봉래나루로,
2024-01-10 10:00,봉래동2가 봉래나루로,
2024-01-10 10:01,봉래동2가 봉래나루로,
2024-01-10 10:02,봉래동1가 봉래나루로,
2024-01-10 10:02,봉래동1가 봉래나루로,
2024-01-10 10:02,봉래동1가 봉래나루로,
2024-01-10 10:04,대교동1가 태종로50번길,
2024-01-10 10:05,대교동1가 태종로,
2024-01-10 10:06,대교동1가 봉래나루로,
2024-01-10 10:06,대교동1가 봉래나루로,
2024-01-10 10:09,대교동1가 봉래나루로,
2024-01-10 10:10,대교동1가 봉래나루로,
2024-01-10 10:10,대교동1가 봉래나루로,
2024-01-10 10:12,봉래동1가 봉래나루로,
2024-01-10 10:12,봉래동1가 봉래나루로,
2024-01-10 10:13,봉래동2가 봉래나루로,
2024-01-10 14:05,봉래동3가 태종로,
2024-01-10 14:08,대교동2가 태종로95번길,
2024-01-10 14:10,봉래동2가 절영로13번길,
2024-01-10 14:13,영선동2가 절영로43번길,
2024-01-10 14:14,영선동2가 절영로43번길,
2024-01-10 14:14,영선동2가 절영로49번길,
2024-01-10 14:17,대평동1가 대평로,
2024-01-10 14:18,대평동1가 대평로,
2024-01-10 14:18,대평동1가 대평로,
2024-01-10 14:19,대평동2가 대평로46번길,
2024-01-10 14:20,대평동1가 대평로,
2024-01-10 14:21,대평동1가 대평로,
2024-01-10 17:30,대교동1가 남항로9번길,
2024-01-10 06:13,남항동1가 232-42 교차로모퉁이,
2024-01-10 16:49,영선동2가 245 인도,
2024-01-10 19:27,동삼동 332-26 인도,
2024-01-10 19:25,동삼동 330-14 인도,
2024-01-10 10:06,영선동2가 245 인도,
2024-01-10 14:01,영선동2가 245 인도,
2024-01-10 14:38,영선동4가 261-1 인도,
2024-01-10 15:05,청학동 1-111 인도,
2024-01-10 16:32,동삼동 231-17 인도,
2024-01-10 22:00,남항동2가 273-1 교차로모퉁이,
2024-01-10 22:23,영선동1가 136-1 인도,
2024-01-10 22:51,봉래동3가 196 인도,
2024-01-10 22:51,봉래동3가 196 인도,
2024-01-10 08:21,대교동1가 190-1 교차로모퉁이,
2024-01-10 10:31,봉래동3가 196 교차로모퉁이,
2024-01-10 10:31,봉래동3가 196 횡단보도,
2024-01-10 12:40,영선동2가 192-5 교차로모퉁이,
2024-01-10 12:44,남항동1가 125-1 교차로모퉁이,
2024-01-10 16:13,동삼동 510-43 교차로모퉁이,
2024-01-10 20:38,동삼동 363-4 교차로모퉁이,
2024-01-10 21:17,동삼동 510-43 횡단보도,
2024-01-10 22:04,남항동2가 207 교차로모퉁이,
2024-01-10 12:19,영선동2가245 버스정류소,
2024-01-10 12:17,영선동2가245 버스정류소,
2024-01-11 01:19,영선동1가 136-1 인도,
2024-01-11 11:33,영선동2가 245 인도,
2024-01-11 13:26,동삼동 231-19 인도,
2024-01-11 14:18,청학동 1-111 인도,
2024-01-11 08:04,민재약국앞-1,
2024-01-11 08:24,영선윗로타리 중앙-4,
2024-01-11 09:26,대동대교맨션 주변-2,
2024-01-11 11:17,영선아파트주변-3,
2024-01-11 11:20,영선불고기-1,
2024-01-11 12:49,대교초등학교 주변-2,
2024-01-11 13:08,대교초등학교 주변-3,
2024-01-11 14:22,대동대교맨션 주변-4,
2024-01-11 14:22,대동대교맨션 주변-2,
2024-01-11 14:26,동삼동농협 주변 보조카,
2024-01-11 14:36,해안관광도로 감지 입구,
2024-01-11 14:50,홈플러스영도점주변-3,
2024-01-11 14:51,3 농협영도지점주변,
2024-01-11 14:59,청학초등학교 주변-1,
