부산구별,날짜 ,음식점 수 ,주점 수 ,버스 정류장 개수,지하철역 개수,지역구별 인구수 ,지역구 별 인구 대비 남자 수 ,가로등 수,CCTV 개수,횡단보도 개수,신호등 개수, 주차장 개수,차량 등록 대수,택시 정류장 수 ,강수,기온,음주운전 사고건수,음주운전 단속건수
강서구,2023-01-01,2107,178,1091,3,143055,51.84,20454,352,559,284,27,"89,189",2,80.8,2.4,55,25
금정구,2023-01-01,2695,472,500,7,220537,48.83,6196,403,172,30,45,"86,515",5,73.5,3.4,40,32
기장군,2023-01-01,2416,274,774,2,179062,49.50,15372,344,331,288,29,"86,602",10,94.5,3.9,34,31
남구,2023-01-01,2459,417,528,6,256162,48.80,4624,351,237,26,25,"100,774",9,69,3.4,41,24
동구,2023-01-01,1269,402,248,6,86330,48.87,3649,374,82,16,67,"47,306",13,78.3,3.8,19,12
동래구,2023-01-01,2930,754,565,13,273149,48.42,4443,404,224,34,15,"100,962",7,73.5,3.4,40,20
부산진구,2023-01-01,4574,1322,661,11,356328,48.08,6960,403,309,50,57,"148,312",25,69,3.4,73,38
북구,2023-01-01,2254,523,451,10,278546,49.22,4960,174,259,26,43,"106,540",7,51,2.6,39,17
사상구,2023-01-01,2336,528,491,5,203775,50.30,6447,442,232,73,63,"89,198",3,75,1.9,29,24
사하구,2023-01-01,2976,787,639,11,301884,49.68,6953,431,310,33,55,"114,700",7,81.5,2.9,49,26
서구,2023-01-01,1100,181,310,4,105019,48.27,2848,230,106,17,48,"31,933",3,78.3,3.9,18,8
수영구,2023-01-01,2454,582,239,7,174882,46.97,3459,348,119,11,10,"119,666",7,51.5,3.4,40,22
연제구,2023-01-01,2204,571,318,8,203172,47.95,4343,365,171,46,25,"124,002",12,73.5,3.8,25,23
영도구,2023-01-01,1113,319,403,0,107944,49.21,3359,377,118,15,37,"33,879",1,78.3,3.8,16,12
중구,2023-01-01,1411,588,126,3,39617,48.43,1732,381,83,10,29,"39,091",12,78.3,3.8,1,5
해운대구,2023-01-01,3884,715,600,10,386236,47.97,11159,337,503,41,40,"183,061",39,51.5,3.9,61,43
