관리부서,나트륨100(w)이하,나트륨150(w)이하,나트륨200(w)이하,나트륨250(w)이하,나트륨400(w)이하,나트륨1(kw)이하,메탈100(w)이하,메탈150(w)이하,메탈200(w)이하,메탈250(w)이하,메탈400(w)이하,메탈1(kw)이하,메탈2(kw)이하,기타 50(w)이하,기타 100(w)이하,기타 150(w)이하,엘이디50(w)이하,엘이디100(w)이하,엘이디150(w)이하,엘이디200(w)이하,엘이디250(w)이하,엘이디400(w)이하,엘이디600(w)이하,엘이디1000(w)이하
중구,0,0,0,0,0,0,4,6,0,173,0,0,0,0,0,0,146,604,719,80,0,0,0,0
서구,58,2,0,428,49,0,0,17,55,5,0,19,0,1,0,0,546,276,1328,60,0,0,4,0
동구,32,0,0,720,0,0,225,200,0,329,0,29,0,0,87,0,128,539,1319,27,14,0,0,0
영도구,0,0,0,677,0,0,26,29,612,239,0,6,0,0,0,0,277,889,522,82,0,0,0,0
부산진구,0,20,0,326,20,0,,80,238,1226,348,49,0,0,22,0,813,325,3064,83,333,0,13,0
동래구,0,0,0,542,0,0,0,0,809,675,0,51,0,0,0,0,0,669,1533,101,63,0,0,0
남구,0,243,0,467,0,0,,,441,594,25,48,0,0,0,0,153,1240,1256,157,0,0,0,0
북구,34,536,0,61,0,0,16,241,0,3,0,20,0,0,0,0,221,804,2375,640,6,0,3,0
해운대구,0,0,0,1624,304,2,,412,146,169,31,30,0,0,15,850,8,634,6163,759,0,0,8,4
사하구,138,29,0,2159,0,0,59,59,219,307,,24,0,0,0,0,240,555,2898,263,0,0,3,0
금정구,0,0,0,361,0,0,0,0,0,2149,0,22,0,169,15,0,248,1654,1445,94,35,0,4,0
강서구,0,42,3,362,45,0,542,3281,1003,2201,270,32,0,0,0,0,696,4514,4962,2491,4,2,4,0
연제구,0,5,0,249,0,0,,71,5,379,6,37,0,0,111,0,576,864,1429,314,288,2,7,0
수영구 ,0,0,0,11,0,0,3,195,0,7,7,11,0,0,0,0,189,848,1934,223,3,16,12,0
사상구,0,246,0,254,0,0,51,131,196,1884,0,47,0,0,0,0,150,1739,996,747,0,0,0,6
기장군,0,0,0,43,0,0,0,1439,0,0,0,0,0,60,0,20,359,8098,5310,0,0,21,9,13
시설공단_도로시설,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,1227,0,0,0,0,0
시설공단_교량관리,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,661,391,227,0,0,0,0,0
민자_산성,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,49,14,0,0,0,0
민자_천마,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,16,0,0,0
민자_을숙도대교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,99,0,0,10,0,0
민자_부산항대교,0,0,0,0,0,0,0,100,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0
