bstopnm,geometry,SGG_NM
영주삼거리,POINT (129.0332616667 35.1153233333),부산광역시 중구
영주삼거리,POINT (129.03303030469 35.115282635238),부산광역시 중구
시민아파트,POINT (129.0316783333 35.115075),부산광역시 중구
시민아파트,POINT (129.032159888187 35.114921364382),부산광역시 중구
중앙공원.민주공원입구,POINT (129.0298583333 35.1144733333),부산광역시 중구
중앙공원.민주공원입구,POINT (129.03008865985 35.114344170943),부산광역시 중구
중앙공원.민주공원입구,POINT (129.0296516667 35.11397),부산광역시 중구
동아아파트,POINT (129.0304266667 35.1139666667),부산광역시 중구
동아아파트,POINT (129.030288307279 35.113201093042),부산광역시 중구
부산터널위,POINT (129.031769 35.113068),부산광역시 중구
동주파크맨션,POINT (129.02967 35.1114416667),부산광역시 중구
동주파크맨션,POINT (129.029845 35.1113366667),부산광역시 중구
금호아파트,POINT (129.03072 35.1114966667),부산광역시 중구
금호아파트,POINT (129.0306866667 35.111095),부산광역시 중구
청운아파트,POINT (129.0305383333 35.109655),부산광역시 중구
청운아파트,POINT (129.0307116667 35.1095733333),부산광역시 중구
부산디지털고,POINT (129.031799 35.109566),부산광역시 중구
부산디지털고,POINT (129.0319816667 35.109475),부산광역시 중구
부산디지털고,POINT (129.0302916667 35.1077866667),부산광역시 중구
부산디지털고,POINT (129.0309883333 35.1080716667),부산광역시 중구
중구청.메리놀병원,POINT (129.032933295156 35.107534471459),부산광역시 중구
중구청.메리놀병원,POINT (129.0339333333 35.1077283333),부산광역시 중구
중구청.메리놀병원,POINT (129.03372019964 35.108088719431),부산광역시 중구
거북맨션,POINT (129.033933936088 35.109796229546),부산광역시 중구
거북맨션,POINT (129.033713958885 35.109738632812),부산광역시 중구
코모도호텔,POINT (129.0348783333 35.1101883333),부산광역시 중구
영주신호대,POINT (129.0344316667 35.111245),부산광역시 중구
영주동,POINT (129.03500426832 35.112254907385),부산광역시 중구
영주동,POINT (129.0354533333 35.112065),부산광역시 중구
2부두,POINT (129.0406533333 35.1085616667),부산광역시 중구
2부두,POINT (129.04012 35.10828),부산광역시 중구
연안여객터미널,POINT (129.039155 35.1060766667),부산광역시 중구
연안여객터미널,POINT (129.0382716667 35.1050833333),부산광역시 중구
부산세관,POINT (129.03744 35.1040166667),부산광역시 중구
제일은행앞,POINT (129.0348333333 35.1029516667),부산광역시 중구
백산기념관.영화체험박물관,POINT (129.034246946511 35.102682571984),부산광역시 중구
부산항만공사,POINT (129.037685 35.10077),부산광역시 중구
부산항만공사,POINT (129.03792 35.1008416667),부산광역시 중구
중앙공원.민주공원,POINT (129.028602 35.112736),부산광역시 중구
영도대교.남포역,POINT (129.036016348339 35.097318312926),부산광역시 중구
영도대교.남포역,POINT (129.035894138741 35.097618222506),부산광역시 중구
영도대교.남포역,POINT (129.0357433333 35.097485),부산광역시 중구
영도대교,POINT (129.035885 35.0970583333),부산광역시 중구
자갈치시장,POINT (129.032435 35.097535),부산광역시 중구
자갈치시장,POINT (129.032250785332 35.09746438329),부산광역시 중구
신동아시장,POINT (129.0293006298 35.097133805),부산광역시 중구
신동아시장,POINT (129.0289312218 35.0970759548),부산광역시 중구
서구청.충무동,POINT (129.025567762691 35.098028422252),부산광역시 중구
부평시장,POINT (129.0251683333 35.1012583333),부산광역시 중구
부평시장,POINT (129.0251583998 35.1021367755),부산광역시 중구
남포주유소,POINT (129.0225111668 35.1015056102),부산광역시 중구
보수초등학교,POINT (129.0238655294 35.1056298688),부산광역시 중구
보수초등학교,POINT (129.02416 35.1054416667),부산광역시 중구
보수사거리,POINT (129.0243683333 35.1032483333),부산광역시 중구
보수사거리,POINT (129.0245 35.10313),부산광역시 중구
국제시장,POINT (129.028608921862 35.1028444487),부산광역시 중구
국제시장,POINT (129.0289521 35.10283595),부산광역시 중구
국제시장,POINT (129.0298886 35.10279323),부산광역시 중구
