bstopnm,geometry,ADM_NM
영주삼거리,POINT (129.0332616667 35.1153233333),영주1동
영주삼거리,POINT (129.03303030469 35.115282635238),영주2동
시민아파트,POINT (129.0316783333 35.115075),영주2동
시민아파트,POINT (129.032159888187 35.114921364382),영주2동
중앙공원.민주공원입구,POINT (129.0298583333 35.1144733333),영주2동
중앙공원.민주공원입구,POINT (129.03008865985 35.114344170943),영주2동
중앙공원.민주공원입구,POINT (129.0296516667 35.11397),영주2동
동아아파트,POINT (129.0304266667 35.1139666667),영주2동
동아아파트,POINT (129.030288307279 35.113201093042),영주2동
부산터널위,POINT (129.031769 35.113068),영주2동
동주파크맨션,POINT (129.02967 35.1114416667),영주2동
동주파크맨션,POINT (129.029845 35.1113366667),영주2동
금호아파트,POINT (129.03072 35.1114966667),영주2동
금호아파트,POINT (129.0306866667 35.111095),영주2동
청운아파트,POINT (129.0305383333 35.109655),영주2동
청운아파트,POINT (129.0307116667 35.1095733333),영주2동
부산디지털고,POINT (129.031799 35.109566),영주2동
부산디지털고,POINT (129.0319816667 35.109475),영주2동
부산디지털고,POINT (129.0302916667 35.1077866667),대청동
부산디지털고,POINT (129.0309883333 35.1080716667),대청동
중구청.메리놀병원,POINT (129.032933295156 35.107534471459),대청동
중구청.메리놀병원,POINT (129.0339333333 35.1077283333),동광동
중구청.메리놀병원,POINT (129.03372019964 35.108088719431),동광동
거북맨션,POINT (129.033933936088 35.109796229546),영주2동
거북맨션,POINT (129.033713958885 35.109738632812),영주2동
코모도호텔,POINT (129.0348783333 35.1101883333),영주1동
영주신호대,POINT (129.0344316667 35.111245),영주1동
영주동,POINT (129.03500426832 35.112254907385),영주1동
영주동,POINT (129.0354533333 35.112065),영주1동
2부두,POINT (129.0406533333 35.1085616667),중앙동
2부두,POINT (129.04012 35.10828),중앙동
연안여객터미널,POINT (129.039155 35.1060766667),중앙동
연안여객터미널,POINT (129.0382716667 35.1050833333),중앙동
부산세관,POINT (129.03744 35.1040166667),중앙동
제일은행앞,POINT (129.0348333333 35.1029516667),중앙동
백산기념관.영화체험박물관,POINT (129.034246946511 35.102682571984),동광동
