행정동명,Count
가덕도동,69
가락동,37
가야1동,182
가야2동,172
감만1동,48
감만2동,35
감전동,265
감천1동,158
감천2동,44
강동동,62
개금1동,279
개금2동,51
개금3동,115
거제1동,215
거제2동,85
거제3동,173
거제4동,18
광복동,125
광안1동,274
광안2동,318
광안3동,220
광안4동,92
괘법동,512
괴정1동,178
괴정2동,67
괴정3동,143
괴정4동,95
구서1동,258
구서2동,197
구평동,62
구포1동,318
구포2동,156
구포3동,140
금곡동,149
금사회동동,126
금성동,87
기장읍,926
남부민1동,32
남부민2동,43
남산동,339
남천1동,347
남천2동,104
남포동,275
남항동,321
녹산동,566
다대1동,381
다대2동,186
당감1동,225
당감2동,49
당감4동,130
당리동,281
대연1동,249
대연3동,644
대연4동,94
대연5동,187
대연6동,68
대저1동,130
대저2동,164
대청동,66
덕천1동,162
덕천2동,354
덕천3동,50
덕포1동,144
덕포2동,131
동광동,65
동대신1동,54
동대신2동,69
동대신3동,104
동삼1동,251
동삼2동,80
동삼3동,29
만덕1동,66
만덕2동,163
만덕3동,103
망미1동,182
망미2동,89
명륜동,402
명장1동,148
명장2동,64
명지1동,790
명지2동,289
모라1동,323
모라3동,21
문현1동,77
문현2동,117
문현3동,113
문현4동,85
민락동,571
반송1동,173
반송2동,154
반여1동,270
반여2동,120
반여3동,69
반여4동,23
범일1동,80
범일2동,300
범일5동,20
범천1동,233
범천2동,78
보수동,87
복산동,100
봉래1동,111
봉래2동,12
부곡1동,75
부곡2동,98
부곡3동,169
부곡4동,101
부민동,117
부암1동,109
부암3동,117
부전1동,524
부전2동,753
부평동,379
사직1동,196
사직2동,215
사직3동,180
삼락동,110
서1동,29
서2동,75
서3동,181
서대신1동,115
서대신3동,52
서대신4동,67
선두구동,61
송정동,206
수민동,246
수영동,257
수정1동,37
수정2동,224
수정4동,15
수정5동,9
신선동,21
신평1동,168
신평2동,131
아미동,48
안락1동,255
안락2동,295
암남동,193
양정1동,249
양정2동,154
엄궁동,157
연산1동,221
연산2동,175
연산3동,39
연산4동,323
연산5동,426
연산6동,117
연산8동,137
연산9동,275
연지동,110
영선1동,97
영선2동,52
영주1동,47
영주2동,16
온천1동,354
온천2동,222
온천3동,253
용당동,73
용호1동,310
용호2동,131
용호3동,116
용호4동,54
우1동,403
우2동,313
우3동,177
우암동,58
일광읍,390
장림1동,183
장림2동,200
장안읍,229
장전1동,278
장전2동,520
재송1동,312
재송2동,192
전포1동,552
전포2동,279
정관읍,787
좌1동,393
좌2동,240
좌3동,62
좌4동,73
좌천동,42
주례1동,93
주례2동,247
주례3동,127
중1동,538
중2동,166
중앙동,351
철마면,84
청룡노포동,101
청학1동,29
청학2동,110
초량1동,107
초량2동,192
초량3동,218
초량6동,25
초읍동,213
초장동,8
충무동,198
하단1동,223
하단2동,476
학장동,206
화명1동,123
화명2동,122
화명3동,348
