ADM_NM,횡단보도 개수
가덕도동,4
가락동,33
가야1동,14
가야2동,8
감만1동,14
감만2동,8
감전동,54
감천1동,27
감천2동,1
강동동,13
개금1동,9
개금2동,1
개금3동,15
거제1동,35
거제2동,16
거제3동,11
거제4동,4
광안1동,5
광안2동,26
광안3동,6
괘법동,27
괴정1동,10
괴정2동,1
괴정3동,8
괴정4동,15
구서1동,22
구서2동,13
구평동,31
구포1동,14
구포2동,17
구포3동,6
금곡동,44
금사회동동,9
기장읍,82
남부민1동,9
남부민2동,4
남산동,22
남천1동,13
남천2동,10
남포동,4
남항동,22
녹산동,330
다대1동,43
다대2동,4
당감1동,14
당감2동,3
당감4동,19
당리동,17
대연1동,16
대연3동,43
대연4동,12
대연5동,5
대연6동,9
대저1동,35
대저2동,52
대청동,10
덕천1동,21
덕천2동,21
덕천3동,6
덕포1동,9
덕포2동,17
동광동,2
동대신1동,8
동대신2동,8
동대신3동,5
동면,8
동삼1동,29
동삼2동,8
동삼3동,7
만덕1동,21
만덕2동,14
만덕3동,10
망미1동,9
망미2동,18
명륜동,13
명장1동,7
명장2동,18
명지1동,31
명지2동,58
모라1동,27
모라3동,6
문현1동,7
문현2동,20
문현3동,5
문현4동,10
민락동,31
반송1동,20
반송2동,12
반여1동,60
반여2동,9
반여3동,2
반여4동,7
범일1동,8
범일2동,18
범일5동,10
범천1동,19
범천2동,23
보수동,27
복산동,9
봉래1동,3
봉래2동,1
부곡1동,8
부곡2동,10
부곡3동,7
부곡4동,9
부민동,12
부암1동,25
부암3동,11
부전1동,22
부전2동,15
부평동,14
불암동,2
사직1동,8
사직2동,18
사직3동,12
삼락동,16
서1동,3
서2동,3
서3동,6
서대신1동,7
서대신3동,6
서대신4동,6
서생면,4
선두구동,3
송정동,11
수민동,22
수영동,12
수정1동,4
수정2동,3
수정4동,3
수정5동,2
신평1동,33
신평2동,29
아미동,4
안락1동,22
안락2동,31
암남동,25
양정1동,15
양정2동,9
엄궁동,19
연산1동,21
연산2동,18
연산3동,1
연산4동,8
연산5동,12
연산6동,10
연산8동,13
연산9동,35
연지동,16
영선1동,12
영선2동,9
영주1동,7
영주2동,2
온양읍,1
온천1동,18
온천2동,9
온천3동,20
용당동,22
용호1동,44
용호2동,8
용호3동,3
용호4동,9
우1동,27
우2동,76
우3동,45
우암동,12
일광읍,21
장림1동,24
장림2동,22
장안읍,48
장전1동,10
장전2동,35
재송1동,46
재송2동,12
전포1동,24
전포2동,20
정관읍,162
좌1동,50
좌2동,30
좌3동,21
좌4동,20
좌천동,5
주례1동,13
주례2동,5
주례3동,7
중1동,43
중2동,4
중앙동,9
철마면,13
청룡노포동,16
청학1동,8
청학2동,19
초량1동,2
초량2동,2
초량3동,14
초량6동,2
초읍동,17
초장동,1
충무동,15
하단1동,25
하단2동,21
학장동,34
화명1동,11
화명2동,11
화명3동,60
