군구,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,
강서구,101,105,60,45,39,38,37,28,28,20,20,10,11,15,20,7,15,20,25,42,34,130,220,149,
금정구,131,131,116,80,74,65,53,41,26,37,23,19,13,10,19,20,21,20,26,34,42,81,109,125,
기장군,88,78,72,40,32,28,22,21,12,12,10,12,10,13,21,21,20,19,31,29,123,340,305,176,
남구,155,145,120,94,88,59,41,32,24,19,12,10,13,14,26,21,19,19,19,34,38,113,169,181,
동구,26,32,28,18,19,10,14,13,7,6,2,4,0,2,7,4,5,6,4,8,18,46,82,35,
동래구,97,91,56,50,50,32,30,17,16,14,9,8,8,4,14,6,11,13,9,29,35,120,166,202,
부산진구,129,118,125,108,90,67,88,51,31,27,23,16,19,11,19,18,12,13,23,35,45,102,231,160,
북구,93,84,73,42,38,29,23,18,18,15,11,12,10,10,17,8,13,11,26,38,33,49,93,95,
사상구,105,83,68,42,49,29,23,34,21,14,14,6,3,20,14,14,22,19,29,27,40,191,199,103,
사하구,122,75,74,65,51,32,29,29,17,13,11,13,13,12,19,18,15,23,17,29,44,127,159,116,
서구,26,27,19,17,16,10,6,11,5,7,2,2,4,4,14,6,6,8,13,15,15,36,102,78,
연제구,98,93,64,59,66,40,27,21,13,19,11,14,7,11,10,8,10,11,9,13,30,81,163,115,
영도구,30,36,30,13,13,12,9,13,5,44,7,3,4,4,8,4,12,12,9,17,22,140,160,56,
중구,25,28,27,13,24,5,5,5,3,3,1,5,2,4,6,6,4,2,4,4,10,21,38,41,
해운대구,188,138,105,92,46,53,52,41,24,26,17,10,16,19,29,23,17,26,28,42,44,115,206,208,
