군구,음식점 수 ,주점 수 ,버스 정류장 개수,지하철역 개수,지역구별 인구수 ,지역구 별 인구 대비 남자수,가로등 수,CCTV 개수,횡단보도 개수,신호등 개수, 주차장 개수,차량 등록 대수,택시 정류장 수 ,강수,기온,음주운전 사고건수,음주운전 단속건수
강서구,1927,161,1091,3,142435,52,20454,352,559,284,27,87530,2,118,15,54,33
금정구,2307,375,500,7,223995,49,6196,403,172,30,45,87157,5,140,15,36,37
기장군,2244,219,774,2,177702,50,15372,344,331,288,29,85510,10,134,15,39,43
남구,2275,398,528,6,259596,49,4624,351,237,26,25,100754,9,132,15,35,41
동구,1100,294,248,6,87503,49,3649,374,82,16,67,54757,13,136,16,18,12
동래구,2479,517,565,13,264731,61,4443,404,224,34,15,99454,7,139,15,40,30
부산진구,4152,948,661,11,355439,48,6960,403,309,50,57,146989,25,132,15,87,43
북구,2057,381,451,10,279950,49,4960,174,259,26,43,105919,7,123,15,41,24
사상구,2024,377,491,5,206294,50,6447,442,232,73,63,89140,3,121,15,36,32
사하구,2799,534,639,11,304200,50,6953,431,310,33,55,114288,7,138,15,53,31
서구,1024,139,310,4,105179,48,2848,230,106,17,48,31259,3,136,15,20,12
연제구,1825,365,318,8,205209,48,4343,365,171,46,25,113272,12,139,16,30,28
영도구,1083,233,403,0,109289,49,3359,377,118,15,37,33671,1,136,16,16,18
중구,1287,377,126,3,40134,49,1732,381,83,10,29,38413,12,136,16,11,8
해운대구,3845,547,600,10,391008,48,11159,337,503,41,40,181611,39,138,15,65,43
