군구,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
강서구,34,34,13,9,11,11,12,8,8,1,6,3,3,1,5,0,4,4,10,10,12,43,69,46
금정구,43,38,37,19,17,20,10,9,3,5,8,4,4,4,3,8,11,10,5,7,12,30,47,45
기장군,29,14,19,7,10,7,5,1,4,4,4,5,2,3,3,7,11,5,11,16,41,87,96,53
남구,49,32,35,21,24,13,10,6,6,6,4,4,4,2,3,3,4,5,2,14,13,37,54,74
동구,7,7,10,5,5,4,4,5,2,0,2,0,0,1,3,1,2,0,1,5,3,17,40,15
동래구,27,17,15,11,14,6,6,8,2,0,5,3,2,3,1,0,1,5,4,12,20,72,109,63
부산진구,40,40,31,38,24,12,22,7,14,4,6,5,6,4,4,6,1,6,10,16,16,34,111,54
북구,24,29,18,5,12,8,2,5,1,6,3,2,6,1,3,3,2,0,11,16,11,20,44,41
사상구,45,28,23,13,13,5,5,8,4,3,0,0,1,3,1,3,9,5,12,15,10,47,68,38
사하구,42,25,19,26,10,8,5,4,6,2,1,2,4,4,5,9,5,7,8,12,15,59,83,44
서구,8,7,4,4,4,2,1,1,3,2,1,0,0,1,3,2,0,2,2,6,4,7,11,13
연제구,31,26,22,18,22,11,5,2,4,4,1,5,2,5,1,2,3,6,4,5,11,48,83,50
영도구,12,9,5,5,3,3,2,4,0,2,3,1,2,1,3,0,5,5,1,6,6,35,50,23
중구,8,7,1,4,11,1,1,1,0,1,0,1,1,1,2,4,2,0,1,1,2,7,11,11
해운대구,66,48,26,23,10,11,7,10,6,2,5,5,5,8,5,8,7,8,10,12,15,47,77,70
