읍면동,자동차 등록 대수,인구수,횡단보도 개수,음식점 수,버스정류장 개수,음주 교통사고 건수,예측 음주운전 적발 건수
가덕도동,2908,4311,4,68,88,1.1,0.66033244
가락동,2131,2097,33,37,57,0.65,0.42213973
가야1동,4773,16411,14,159,13,5.65,2.683007
가야2동,6211,17951,8,158,18,4.95,2.7160652
감만1동,5900,7958,14,42,40,1.48,1.0681094
감만2동,1892,6308,8,33,19,0.77,0.5699547
감전동,11017,11718,54,247,52,4.46,2.7862353
감천1동,6205,16630,27,150,44,4.72,2.6670928
감천2동,1436,5147,1,43,13,1.51,0.778023
강동동,4327,6595,13,61,86,1.18,0.7417201
개금1동,6206,18232,9,268,27,4.92,2.7077954
개금2동,3187,9865,1,45,17,3.22,1.8078187
개금3동,9150,26178,15,111,42,8.47,4.1926093
거제1동,43275,27795,35,203,35,2.96,3.349558
거제2동,28883,24815,16,88,50,1.24,2.57585
거제3동,3603,9270,11,163,13,1.01,0.871745
거제4동,5392,9434,4,15,15,1.05,0.8923565
광복동,297,863,0,121,0,0.12,0.40140328
광안1동,76237,24787,5,256,16,5.43,4.165281
광안2동,7465,18310,26,295,20,3.92,2.7573242
광안3동,4020,9160,6,202,20,2.01,1.3980561
광안4동,4342,13104,0,92,14,2.88,2.1911514
괘법동,9625,24320,27,480,37,7.51,4.314809
괴정1동,5816,17629,10,174,25,4.96,2.6450405
괴정2동,4818,14744,1,60,21,3.56,2.3188272
괴정3동,3198,11398,8,137,15,3.17,1.8423998
괴정4동,5112,14899,15,91,16,3.11,2.233397
구서1동,8885,18383,22,243,36,2.79,2.5345838
구서2동,12221,30703,13,188,34,4.69,4.0760283
구평동,6697,12289,31,58,74,3.28,2.3102627
구포1동,6120,15087,14,282,27,5.0,2.6346214
구포2동,8851,23196,17,145,40,7.85,3.7361405
구포3동,6277,17605,6,123,33,6.12,2.9706852
금곡동,12432,34777,44,142,62,11.8,5.760859
금사회동,5552,6978,9,124,52,1.12,0.73431224
금성동,456,901,0,87,24,0.15,0.40283296
기장읍,23998,51153,82,865,222,14.13,14.543867
남부민1동,1352,4383,9,32,13,0.55,0.41144666
남부민2동,1923,7695,4,38,17,1.02,0.7680002
남산동,10257,25918,22,314,54,4.09,3.299797
남천1동,7193,16667,13,330,30,2.91,2.471978
남천2동,5647,13435,10,96,10,2.54,2.0912507
남포동,406,798,4,259,15,0.11,0.40038282
남항동,3444,9984,22,289,44,1.03,0.8676763
녹산동,27714,33784,330,531,428,9.83,7.8435383
다대1동,14842,35615,43,361,93,9.86,5.449932
다대2동,9146,25131,4,172,40,6.93,4.0182595
당감1동,6800,20718,14,209,32,6.78,3.131571
당감2동,3982,11642,3,44,4,3.02,1.9491243
당감4동,3571,10127,19,123,34,3.33,1.8223717
당리동,8715,23748,17,263,43,6.74,3.809688
대연1동,5624,15235,16,236,30,1.81,1.6678213
대연3동,13342,36112,43,577,66,3.74,3.8319416
대연4동,4940,13888,12,87,42,1.42,1.2700468
대연5동,4982,16273,5,176,29,1.95,1.6973494
대연6동,5997,15695,9,65,29,1.76,1.765286
대저1동,6159,5696,35,122,123,1.83,1.2299933
대저2동,8941,6197,52,158,119,1.98,1.3176534
대청동,1335,5666,10,65,17,0.78,0.5347369
덕천1동,4768,13320,21,149,30,3.45,2.2478836
덕천2동,3515,10834,21,325,30,3.73,1.8549641
덕천3동,2830,9729,6,48,17,3.35,1.8108894
덕포1동,5067,11695,9,138,20,2.91,2.0923839
덕포2동,4777,11880,17,124,30,4.33,2.4080234
동광동,684,2356,2,60,6,0.33,0.40654013
동대신1동,1467,5177,8,51,10,0.64,0.43528342
동대신2동,1800,6484,8,69,19,0.84,0.56481785
동대신3동,1989,7078,5,99,32,0.88,0.5686559
동삼1동,9368,27707,29,242,91,2.61,2.974825
동삼2동,1774,5051,8,77,18,0.32,0.4357178
동삼3동,2098,8622,7,27,37,0.94,0.7770212
만덕1동,6795,16092,21,69,27,5.18,2.8089626
만덕2동,10211,26038,14,158,56,8.24,4.323588
만덕3동,6588,17227,10,98,25,5.8,2.8721256
망미1동,8761,25675,9,166,49,5.75,3.727428
망미2동,3864,9799,18,83,30,2.25,1.6130147
명륜동,10269,26113,13,372,52,4.18,3.274788
명장1동,4821,13280,7,129,31,2.39,2.0249445
명장2동,4593,13546,18,57,44,2.34,1.9835116
명지1동,26224,54195,31,714,126,14.79,10.436566
명지2동,14284,29902,58,254,64,8.47,5.8144393
모라1동,10454,25933,27,303,55,9.38,4.8261013
모라3동,2183,9018,6,20,20,3.49,1.7468289
문현1동,5427,10617,7,69,17,1.55,1.1773503
문현2동,2642,8246,20,110,20,0.98,0.840817
문현3동,5759,16134,5,104,13,1.79,1.6949184
문현4동,3308,8679,10,84,35,0.95,0.840975
민락동,11187,27331,31,544,29,5.99,4.5702906
반송1동,4345,12050,20,161,46,4.14,2.489578
반송2동,6622,20839,12,144,25,6.98,3.033886
반여1동,16367,35423,60,252,70,10.36,5.7968755
반여2동,5458,11307,9,106,16,3.8,2.224595
반여3동,2022,7474,2,65,2,2.57,1.64746
반여4동,6265,14565,7,23,32,4.82,2.6174448
범일1동,4027,10509,8,78,42,0.6,0.73611224
범일2동,2516,7104,18,274,28,0.4,0.5409031
범일5동,4034,8838,10,19,22,0.22,0.7344523
범천1동,3977,12156,19,223,16,3.52,2.0709455
범천2동,7056,21140,23,75,28,5.98,3.1137497
보수동,2327,10085,27,84,30,1.31,0.9826878
복산동,2633,8240,9,94,32,2.7,1.8123268
봉래1동,1925,6156,3,103,14,0.64,0.46625683
봉래2동,2282,7167,1,13,26,0.75,0.4968597
부곡1동,2749,7270,8,75,14,1.17,0.7336237
부곡2동,6265,16737,10,91,13,2.55,2.2379782
부곡3동,6067,14733,7,167,53,2.24,1.9469321
부곡4동,3696,11535,9,90,17,1.82,1.4559436
부민동,1991,7291,12,109,14,0.86,0.58002204
부암1동,8700,23118,25,101,36,6.76,3.870169
부암3동,8067,21090,11,102,31,5.13,2.9430513
부전1동,39953,14432,22,509,52,4.68,2.4476798
부전2동,6107,12249,15,695,26,2.92,2.2347786
부평동,974,4081,14,363,6,0.56,0.40528938
사직1동,4488,11563,8,177,24,2.93,2.080288
사직2동,9726,24545,18,208,56,7.37,4.158793
사직3동,5702,16759,12,168,26,5.47,2.6668677
삼락동,2808,5034,16,99,38,1.95,1.1785779
서1동,1416,4347,3,26,10,0.75,0.41655645
서2동,2474,8141,3,72,15,1.31,1.0049068
서3동,2912,9954,6,175,17,1.59,1.1353314
서대신1동,4781,14789,7,115,31,1.56,1.4143308
서대신3동,2514,7355,6,51,24,0.92,0.6748034
서대신4동,2419,7055,6,70,26,0.88,0.61099935
선두구동,1496,2021,3,58,42,0.33,0.4142021
송정동,4077,9150,11,196,28,2.97,1.8332146
수민동,11736,30541,22,234,39,8.42,5.4790063
수영동,4699,13758,12,242,21,3.07,2.203527
수정1동,1393,3929,4,35,6,0.21,0.40854582
수정2동,2592,8912,3,210,34,0.5,0.71237904
수정4동,789,3415,3,17,14,0.2,0.40654013
수정5동,1094,4663,2,9,27,0.27,0.4099755
신선동,1521,6940,0,21,47,0.79,0.5696512
신평1동,8174,15338,33,160,30,4.3,2.7898011
신평2동,7531,16918,29,126,35,4.0,2.8132284
아미동,1630,6338,4,45,51,0.75,0.48506063
안락1동,5710,13229,22,239,27,2.9,2.1854563
안락2동,10123,25869,31,279,47,4.96,3.6930823
암남동,6949,16369,25,192,51,1.45,1.4995785
양정1동,6603,18675,15,228,54,5.89,2.9626741
양정2동,4705,14989,9,143,25,3.53,2.2856312
엄궁동,11369,23814,19,146,36,9.07,4.7650847
연산1동,17675,15780,21,204,13,1.7,1.61508
연산2동,12744,21734,18,167,43,2.09,3.0108857
연산3동,3381,10242,1,40,32,0.93,0.8549886
연산4동,5075,16204,8,305,26,1.63,1.6690698
연산5동,8722,16776,12,391,15,1.68,1.7979084
연산6동,6201,15337,10,110,32,1.69,1.795492
연산8동,5134,13101,13,120,13,1.43,1.2673378
연산9동,12960,31993,35,262,31,3.55,3.464712
연지동,9787,25535,16,99,22,6.06,4.021999
영선1동,908,3621,12,92,22,0.38,0.40773952
영선2동,2186,7256,9,48,22,0.78,0.58658856
영주1동,1316,4338,7,43,7,0.58,0.41144666
영주2동,1700,6359,2,16,22,0.87,0.5670538
온천1동,12247,30364,18,328,48,3.22,3.4509537
온천2동,9478,23875,9,212,82,2.42,2.6672761
온천3동,12345,35730,20,235,57,5.98,5.2678905
용당동,6018,7674,22,65,37,0.94,0.86261654
용호1동,17393,42438,44,286,41,5.07,4.86812
용호2동,7958,19490,8,124,33,1.93,1.9618164
용호3동,3273,10434,3,106,13,1.4,1.0508827
용호4동,2546,7658,9,52,12,0.98,0.8310418
우1동,14319,23357,27,392,35,6.72,5.6001725
우2동,15590,29548,76,298,46,9.18,5.570243
우3동,11039,27989,45,157,52,2.69,3.2462432
우암동,4847,11945,12,54,11,4.72,2.4185944
일광읍,15386,29989,21,380,143,6.9,7.8923287
장림1동,6570,12249,24,170,53,2.72,2.2452564
장림2동,10216,25288,22,183,79,6.94,4.0301285
장안읍,10377,8611,48,211,123,2.3,2.0878687
장전1동,5117,17764,10,255,19,2.56,2.2277951
장전2동,9679,25793,35,471,61,3.79,3.2817621
재송1동,17536,36388,46,285,66,11.34,6.4781337
재송2동,9005,22026,12,177,31,7.41,3.9188519
전포1동,7804,20368,24,498,64,6.4,3.3702729
