행정동명,Count
가덕도동,24
가락동,13
가야1동,37
가야2동,38
감만1동,23
감만2동,10
감전동,63
감천1동,38
감천2동,5
강동동,29
개금1동,63
개금2동,17
개금3동,24
거제1동,44
거제2동,23
거제3동,29
거제4동,8
광복동,41
광안1동,56
광안2동,60
광안3동,52
광안4동,17
괘법동,110
괴정1동,39
괴정2동,15
괴정3동,35
괴정4동,18
구서1동,63
구서2동,48
구평동,14
구포1동,74
구포2동,58
구포3동,30
금곡동,39
금사회동동,41
금성동,31
기장읍,265
남부민1동,21
남부민2동,15
남산동,88
남천1동,91
남천2동,28
남포동,78
남항동,61
녹산동,144
다대1동,109
다대2동,52
당감1동,68
당감2동,13
당감4동,23
당리동,76
대연1동,80
대연3동,144
대연4동,25
대연5동,49
대연6동,20
대저1동,41
대저2동,50
대청동,12
덕천1동,30
덕천2동,80
덕천3동,11
덕포1동,22
덕포2동,23
동광동,16
동대신1동,7
동대신2동,18
동대신3동,25
동삼1동,71
동삼2동,23
동삼3동,7
만덕1동,19
만덕2동,38
만덕3동,36
망미1동,46
망미2동,25
명륜동,73
명장1동,25
명장2동,9
명지1동,127
명지2동,58
모라1동,78
모라3동,3
문현1동,20
문현2동,16
문현3동,21
문현4동,18
민락동,113
반송1동,45
반송2동,44
반여1동,76
반여2동,37
반여3동,20
반여4동,5
범일1동,23
범일2동,67
범일5동,7
범천1동,61
범천2동,9
보수동,23
복산동,15
봉래1동,36
봉래2동,3
부곡1동,11
부곡2동,17
부곡3동,55
부곡4동,18
부민동,36
부암1동,24
부암3동,22
부전1동,143
부전2동,216
부평동,64
사직1동,30
사직2동,43
사직3동,43
삼락동,33
서1동,8
서2동,30
서3동,33
서대신1동,28
서대신3동,14
서대신4동,33
선두구동,17
송정동,72
수민동,38
수영동,60
수정1동,10
수정2동,54
수정4동,5
수정5동,3
신선동,6
신평1동,42
신평2동,39
아미동,8
안락1동,51
안락2동,59
암남동,43
양정1동,45
양정2동,41
엄궁동,54
연산1동,45
연산2동,27
연산3동,5
연산4동,63
연산5동,68
연산6동,20
연산8동,21
연산9동,55
연지동,25
영선1동,31
영선2동,13
영주1동,12
영주2동,6
온천1동,87
온천2동,48
온천3동,52
용당동,22
용호1동,90
용호2동,30
용호3동,37
용호4동,13
우1동,81
우2동,126
우3동,63
우암동,15
일광읍,96
장림1동,56
장림2동,59
장안읍,73
장전1동,46
장전2동,87
재송1동,77
재송2동,46
전포1동,85
전포2동,47
정관읍,169
좌1동,94
좌2동,50
좌3동,6
좌4동,18
좌천동,10
주례1동,30
주례2동,44
주례3동,31
중1동,136
중2동,50
중앙동,89
철마면,48
청룡노포동,30
청학1동,13
청학2동,35
초량1동,21
초량2동,39
초량3동,60
초량6동,8
초읍동,82
초장동,2
충무동,38
하단1동,49
하단2동,101
학장동,50
화명1동,32
화명2동,33
화명3동,93
