행정동명,2021,2022,2023
가덕도동,25,24,69
가락동,12,13,37
가야1동,36,37,182
가야2동,43,38,172
감만1동,25,23,48
감만2동,10,10,35
감전동,67,63,265
감천1동,41,38,158
감천2동,7,5,44
강동동,27,29,62
개금1동,63,63,279
개금2동,16,17,51
개금3동,24,24,115
거제1동,46,44,215
거제2동,21,23,85
거제3동,32,29,173
거제4동,8,8,18
광복동,41,41,125
광안1동,55,56,274
광안2동,62,60,318
광안3동,53,52,220
광안4동,17,17,92
괘법동,110,110,512
괴정1동,38,39,178
괴정2동,13,15,67
괴정3동,35,35,143
괴정4동,18,18,95
구서1동,66,63,258
구서2동,48,48,197
구평동,15,14,62
구포1동,71,74,318
구포2동,56,58,156
구포3동,31,30,140
금곡동,39,39,149
금사회동동,35,41,126
금성동,31,31,87
기장읍,256,265,926
남부민1동,20,21,32
남부민2동,16,15,43
남산동,90,88,339
남천1동,90,91,347
남천2동,27,28,104
남포동,80,78,275
남항동,58,61,321
녹산동,141,144,566
다대1동,108,109,381
다대2동,56,52,186
당감1동,69,68,225
당감2동,13,13,49
당감4동,20,23,130
당리동,74,76,281
대연1동,79,80,249
대연3동,147,144,644
대연4동,22,25,94
대연5동,48,49,187
대연6동,21,20,68
대저1동,40,41,130
대저2동,46,50,164
대청동,13,12,66
덕천1동,32,30,162
덕천2동,79,80,354
덕천3동,12,11,50
덕포1동,23,22,144
덕포2동,22,23,131
동광동,14,16,65
동대신1동,7,7,54
동대신2동,20,18,69
동대신3동,27,25,104
동삼1동,71,71,251
동삼2동,24,23,80
동삼3동,6,7,29
만덕1동,20,19,66
만덕2동,37,38,163
만덕3동,37,36,103
망미1동,46,46,182
망미2동,26,25,89
명륜동,73,73,402
명장1동,25,25,148
명장2동,9,9,64
명지1동,126,127,790
명지2동,56,58,289
모라1동,73,78,323
모라3동,3,3,21
문현1동,19,20,77
문현2동,16,16,117
문현3동,19,21,113
문현4동,19,18,85
민락동,107,113,571
반송1동,42,45,173
반송2동,43,44,154
반여1동,78,76,270
반여2동,40,37,120
반여3동,19,20,69
반여4동,5,5,23
범일1동,24,23,80
범일2동,70,67,300
범일5동,7,7,20
범천1동,61,61,233
범천2동,11,9,78
보수동,23,23,87
복산동,16,15,100
봉래1동,35,36,111
봉래2동,3,3,12
부곡1동,10,11,75
부곡2동,19,17,98
부곡3동,55,55,169
부곡4동,18,18,101
부민동,37,36,117
부암1동,25,24,109
부암3동,22,22,117
부전1동,142,143,524
부전2동,214,216,753
부평동,65,64,379
사직1동,31,30,196
사직2동,40,43,215
사직3동,42,43,180
삼락동,32,33,110
서1동,8,8,29
서2동,27,30,75
서3동,32,33,181
서대신1동,27,28,115
서대신3동,13,14,52
서대신4동,32,33,67
선두구동,16,17,61
송정동,70,72,206
수민동,40,38,246
수영동,58,60,257
수정1동,10,10,37
수정2동,55,54,224
수정4동,5,5,15
수정5동,3,3,9
신선동,6,6,21
신평1동,44,42,168
신평2동,41,39,131
아미동,6,8,48
안락1동,51,51,255
안락2동,58,59,295
암남동,43,43,193
양정1동,46,45,249
양정2동,39,41,154
엄궁동,53,54,157
연산1동,46,45,221
연산2동,26,27,175
연산3동,5,5,39
연산4동,65,63,323
연산5동,64,68,426
연산6동,21,20,117
연산8동,21,21,137
연산9동,62,55,275
연지동,25,25,110
영선1동,30,31,97
영선2동,12,13,52
영주1동,12,12,47
영주2동,6,6,16
온천1동,85,87,354
온천2동,48,48,222
온천3동,54,52,253
용당동,20,22,73
용호1동,89,90,310
용호2동,34,30,131
용호3동,37,37,116
용호4동,12,13,54
우1동,81,81,403
우2동,125,126,313
우3동,62,63,177
우암동,15,15,58
일광면,102,96,390
장림1동,57,56,183
장림2동,59,59,200
장안읍,74,73,229
장전1동,47,46,278
장전2동,83,87,520
재송1동,76,77,312
재송2동,48,46,192
전포1동,86,85,552
전포2동,49,47,279
정관읍,171,169,787
좌1동,92,94,393
좌2동,50,50,240
좌3동,6,6,62
좌4동,18,18,73
좌천동,9,10,42
주례1동,30,30,93
주례2동,41,44,247
주례3동,32,31,127
중1동,144,136,538
중2동,50,50,166
중앙동,88,89,351
철마면,48,48,84
청룡노포동,29,30,101
청학1동,13,13,29
청학2동,39,35,110
초량1동,20,21,107
초량2동,37,39,192
초량3동,59,60,218
초량6동,9,8,25
초읍동,83,82,213
초장동,2,2,8
충무동,33,38,198
하단1동,51,49,223
하단2동,105,101,476
학장동,49,50,206
화명1동,33,32,123
화명2동,32,33,122
화명3동,94,93,348
