"연령별(1)",연령별(2),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"연령별(1)",연령별(2),사상구,사상구,사상구,삼락동,삼락동,삼락동,모라1동,모라1동,모라1동,모라3동,모라3동,모라3동,덕포1동,덕포1동,덕포1동,덕포2동,덕포2동,덕포2동,괘법동,괘법동,괘법동,감전동,감전동,감전동,주례1동,주례1동,주례1동,주례2동,주례2동,주례2동,주례3동,주례3동,주례3동,학장동,학장동,학장동,엄궁동,엄궁동,엄궁동
"연령별(1)",연령별(2),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명)
"총계",소계,203789,102544,101245,5569,2953,2616,27327,13626,13701,9774,4616,5158,8392,4248,4144,12583,6354,6229,23504,12175,11329,12787,6772,6015,16182,8209,7973,22192,11127,11065,12643,6168,6475,27425,13611,13814,25411,12685,12726
"0세∼4세",소계,4028,2116,1912,79,40,39,550,293,257,59,24,35,147,74,73,218,112,106,433,227,206,167,94,73,511,259,252,438,248,190,218,125,93,574,295,279,634,325,309
"0세∼4세",0세,665,358,307,12,4,8,92,55,37,9,4,5,29,14,15,36,19,17,64,32,32,23,11,12,94,49,45,82,45,37,34,22,12,90,49,41,100,54,46
"0세∼4세",1세,748,408,340,15,9,6,104,64,40,13,4,9,25,8,17,37,23,14,96,51,45,35,21,14,93,50,43,86,44,42,33,19,14,104,56,48,107,59,48
"0세∼4세",2세,786,389,397,15,10,5,106,52,54,13,5,8,26,15,11,35,16,19,87,45,42,34,15,19,96,45,51,86,51,35,43,21,22,120,58,62,125,56,69
"0세∼4세",3세,839,431,408,13,8,5,113,56,57,12,5,7,26,13,13,60,28,32,76,42,34,32,22,10,114,54,60,85,50,35,39,19,20,121,59,62,148,75,73
"0세∼4세",4세,990,530,460,24,9,15,135,66,69,12,6,6,41,24,17,50,26,24,110,57,53,43,25,18,114,61,53,99,58,41,69,44,25,139,73,66,154,81,73
"5세∼9세",소계,6129,3119,3010,117,65,52,801,399,402,134,69,65,265,131,134,394,200,194,529,276,253,243,127,116,518,280,238,715,341,374,360,182,178,898,453,445,1155,596,559
"5세∼9세",5세,1117,598,519,26,17,9,152,73,79,21,9,12,62,29,33,67,32,35,120,73,47,40,24,16,91,59,32,131,67,64,58,26,32,161,79,82,188,110,78
