address_do,geometry,ADM_NM
중동,POINT (129.1653682 35.16232073),중1동
중동,POINT (129.1650651 35.16213038),중1동
신평동,POINT (128.9623057 35.09467774),신평2동
중동,POINT (129.1653443 35.16213966),중1동
장안읍,POINT (129.3028907 35.34049369),서생면
장안읍,POINT (129.3029174 35.34064472),서생면
장안읍,POINT (129.3027384 35.34065386),서생면
철마면,POINT (129.1232316 35.33577368),동면
강동동,POINT (128.9285118 35.22107583),불암동
철마면,POINT (129.1096704 35.30963574),동면
두구동,POINT (129.1080623 35.3077108),동면
철마면,POINT (129.115651 35.32264558),동면
두구동,POINT (129.107852 35.30759888),동면
두구동,POINT (129.1079176 35.30740008),동면
두구동,POINT (129.1074827 35.30667556),동면
노포동,POINT (129.080752 35.30405423),동면
중동,POINT (129.1691892 35.1617913),중1동
중동,POINT (129.1692737 35.16189573),중1동
중동,POINT (129.168954 35.16197434),중1동
중동,POINT (129.1676905 35.16205089),중1동
장안읍,POINT (129.3027295 35.34049989),서생면
강동동,POINT (128.9293086 35.22157219),불암동
반여동,POINT (129.1403223 35.21807008),반여1동
석대동,POINT (129.1207318 35.21819359),반송1동
우동,POINT (129.1602898 35.15982234),우1동
우동,POINT (129.1467033 35.15707349),우3동
좌동,POINT (129.1759312 35.17615191),좌1동
우동,POINT (129.1466358 35.15724801),우3동
우동,POINT (129.1443057 35.15789465),우3동
우동,POINT (129.1439777 35.15801053),우3동
우동,POINT (129.1460919 35.15529589),우3동
우동,POINT (129.1459926 35.15543249),우3동
우동,POINT (129.1458467 35.15537263),우3동
우동,POINT (129.145912 35.15523738),우3동
좌동,POINT (129.1783778 35.17373794),좌1동
우동,POINT (129.1455055 35.15756612),우3동
우동,POINT (129.1428101 35.15978252),우3동
우동,POINT (129.149212 35.15813567),우3동
우동,POINT (129.151061 35.15758578),우3동
송정동,POINT (129.2045492 35.1907793),송정동
우동,POINT (129.1579509 35.16024291),우1동
좌동,POINT (129.177984 35.17391001),좌1동
우동,POINT (129.1469244 35.15714712),우3동
우동,POINT (129.1468116 35.15735537),우3동
중동,POINT (129.1821306 35.16462595),중2동
우동,POINT (129.1482457 35.15657037),우3동
우동,POINT (129.1487749 35.15682144),우3동
우동,POINT (129.1432808 35.15593705),우3동
우동,POINT (129.1435294 35.15603577),우3동
우동,POINT (129.1434052 35.15623757),우3동
우동,POINT (129.1428334 35.15484109),우3동
우동,POINT (129.1425816 35.15470716),우3동
반여동,POINT (129.120364 35.20451475),반여1동
우동,POINT (129.1431744 35.15811872),우3동
