부산구별,날짜,음식점 수,주점 수,버스 정류장 개수,지하철역 개수,지역구별 인구수,지역구 별 인구 대비 남자 수,가로등 수,CCTV 개수,횡단보도 개수,신호등 개수,주차장 개수,차량 등록 대수,택시 정류장 수,강수,기온,음주운전 사고건수,음주운전 단속건수
강서구,2021-01-01,1713,148,1091,3,138563,51.67829795832942,20454,352,559,284,27,82033,2,34.8,2.0,51,30
금정구,2021-01-01,2011,315,500,7,231758,48.84189542540064,6196,403,172,30,45,88419,5,56.5,2.9,36,26
기장군,2021-01-01,2026,176,774,2,175384,49.51420882178534,15372,344,331,288,29,81674,10,50.5,3.5,40,16
남구,2021-01-01,2073,387,528,6,267217,48.93738048103227,4624,351,237,26,25,99834,9,52.5,3.3,35,26
동구,2021-01-01,971,228,248,6,88662,48.98490898017189,3649,374,82,16,67,52847,13,49.0,3.5,10,9
동래구,2021-01-01,2140,373,565,13,270556,48.66866748473514,4443,404,224,34,15,97031,7,56.5,2.9,41,59
부산진구,2021-01-01,3685,722,661,11,359744,48.31574675324675,6960,403,309,50,57,144140,25,52.5,3.3,87,37
북구,2021-01-01,1857,304,451,10,283343,49.488782147432616,4960,174,259,26,43,103754,7,38.0,2.6,38,26
사상구,2021-01-01,1782,295,491,5,212103,50.53299576149324,6447,442,232,73,63,89670,3,41.5,2.5,47,32
사하구,2021-01-01,2605,379,639,11,310890,49.843996268776735,6953,431,310,33,55,113842,7,45.0,2.5,51,21
서구,2021-01-01,950,117,310,4,107855,48.45394279356544,2848,230,106,17,48,30511,3,49.0,3.6,20,7
수영구,2021-01-01,1842,398,239,7,176682,47.26004912781155,3459,348,119,11,10,101008,7,54.5,2.9,36,23
연제구,2021-01-01,1518,245,318,8,208809,48.15070231647103,4343,365,171,46,25,101781,12,56.5,3.5,28,22
영도구,2021-01-01,1028,177,403,0,112912,49.2976831514808,3359,377,118,15,37,32998,1,49.0,3.5,19,7
중구,2021-01-01,1189,246,126,3,41462,48.83748974965028,1732,381,83,10,29,35774,12,49.0,3.5,16,9
해운대구,2021-01-01,3654,436,600,10,401547,48.13757791740444,11159,337,503,41,40,177872,39,54.5,3.6,82,28
강서구,2021-02-01,1713,148,1091,3,139041,51.68907013039319,20454,352,559,284,27,82449,2,16.9,6.0,51,26
금정구,2021-02-01,2011,315,500,7,231543,48.87947379104529,6196,403,172,30,45,88374,5,26.5,6.9,36,44
기장군,2021-02-01,2026,176,774,2,176067,49.518649150607445,15372,344,331,288,29,82157,10,23.0,7.3,40,25
남구,2021-02-01,2073,387,528,6,266856,48.94025242078124,4624,351,237,26,25,99841,9,29.5,7.0,35,29
동구,2021-02-01,971,228,248,6,88539,48.950180146602065,3649,374,82,16,67,53046,13,26.7,7.2,10,4
동래구,2021-02-01,2140,373,565,13,270537,48.67726041169969,4443,404,224,34,15,97256,7,26.5,6.9,41,58
부산진구,2021-02-01,3685,722,661,11,359791,48.282197164464925,6960,403,309,50,57,144557,25,29.5,7.0,87,47
북구,2021-02-01,1857,304,451,10,282689,49.455762339532136,4960,174,259,26,43,103750,7,18.5,6.4,38,25
사상구,2021-02-01,1782,295,491,5,211966,50.53593500844475,6447,442,232,73,63,89624,3,15.5,5.9,47,21
사하구,2021-02-01,2605,379,639,11,310578,49.81904706708138,6953,431,310,33,55,113762,7,29.0,6.2,51,21
서구,2021-02-01,950,117,310,4,107700,48.428969359331475,2848,230,106,17,48,30561,3,26.7,7.2,20,7
수영구,2021-02-01,1842,398,239,7,176641,47.26988637971932,3459,348,119,11,10,100997,7,28.5,6.9,36,25
연제구,2021-02-01,1518,245,318,8,208652,48.13277610566877,4343,365,171,46,25,102044,12,26.5,7.2,28,32
영도구,2021-02-01,1028,177,403,0,112673,49.29131202683873,3359,377,118,15,37,33066,1,26.7,7.2,19,11
중구,2021-02-01,1189,246,126,3,41463,48.8194293707643,1732,381,83,10,29,36055,12,26.7,7.2,16,5
해운대구,2021-02-01,3654,436,600,10,401117,48.122118982740695,11159,337,503,41,40,177935,39,28.5,7.2,82,30
강서구,2021-03-01,1713,148,1091,3,139216,51.713883461671074,20454,352,559,284,27,82922,2,162.5,10.8,51,33
금정구,2021-03-01,2011,315,500,7,230540,48.899106445736095,6196,403,172,30,45,88314,5,187.5,10.8,36,34
기장군,2021-03-01,2026,176,774,2,176028,49.52053082464153,15372,344,331,288,29,82535,10,209.0,11.0,40,38
남구,2021-03-01,2073,387,528,6,265694,48.95368356078797,4624,351,237,26,25,99802,9,124.5,11.0,35,24
동구,2021-03-01,971,228,248,6,88155,48.99892235267427,3649,374,82,16,67,53736,13,126.5,11.3,10,15
동래구,2021-03-01,2140,373,565,13,269427,48.69482271635731,4443,404,224,34,15,97222,7,187.5,10.8,41,35
부산진구,2021-03-01,3685,722,661,11,357583,48.29396252058962,6960,403,309,50,57,145269,25,124.5,11.0,87,52
북구,2021-03-01,1857,304,451,10,281814,49.44786277473795,4960,174,259,26,43,103800,7,150.0,11.2,38,27
사상구,2021-03-01,1782,295,491,5,211209,50.5248355893925,6447,442,232,73,63,89383,3,148.5,10.7,47,34
사하구,2021-03-01,2605,379,639,11,309260,49.813748949104315,6953,431,310,33,55,113822,7,124.0,10.3,51,33
서구,2021-03-01,950,117,310,4,106422,48.46460318355227,2848,230,106,17,48,30590,3,126.5,10.9,20,13
수영구,2021-03-01,1842,398,239,7,176111,47.28381532101913,3459,348,119,11,10,100847,7,160.5,10.8,36,28
연제구,2021-03-01,1518,245,318,8,207377,48.190975855567395,4343,365,171,46,25,102235,12,187.5,11.3,28,33
영도구,2021-03-01,1028,177,403,0,111455,49.34098963707326,3359,377,118,15,37,33040,1,126.5,11.3,19,12
중구,2021-03-01,1189,246,126,3,41350,48.76662636033857,1732,381,83,10,29,36275,12,126.5,11.3,16,6
해운대구,2021-03-01,3654,436,600,10,399996,48.13773137731378,11159,337,503,41,40,177964,39,160.5,10.9,82,39
강서구,2021-04-01,1713,148,1091,3,139630,51.73171954451049,20454,352,559,284,27,83300,2,93.1,14.5,51,46
금정구,2021-04-01,2011,315,500,7,230140,48.8863300599635,6196,403,172,30,45,88329,5,128.5,14.3,36,28
기장군,2021-04-01,2026,176,774,2,176258,49.53080143879994,15372,344,331,288,29,82734,10,134.5,14.0,40,24
남구,2021-04-01,2073,387,528,6,265127,48.9474855446635,4624,351,237,26,25,99838,9,111.5,14.2,35,25
동구,2021-04-01,971,228,248,6,88095,49.000510812191386,3649,374,82,16,67,54101,13,118.6,14.7,10,5
동래구,2021-04-01,2140,373,565,13,268923,48.663372043298644,4443,404,224,34,15,97073,7,128.5,14.3,41,37
부산진구,2021-04-01,3685,722,661,11,357132,48.297548245466665,6960,403,309,50,57,145264,25,111.5,14.2,87,50
북구,2021-04-01,1857,304,451,10,282037,49.45698614011636,4960,174,259,26,43,104003,7,102.5,14.9,38,21
사상구,2021-04-01,1782,295,491,5,210899,50.51043390438077,6447,442,232,73,63,89333,3,94.5,14.4,47,23
사하구,2021-04-01,2605,379,639,11,308643,49.80155065885181,6953,431,310,33,55,113741,7,111.0,13.7,51,26
서구,2021-04-01,950,117,310,4,106517,48.4570538036182,2848,230,106,17,48,30643,3,118.6,14.2,20,7
수영구,2021-04-01,1842,398,239,7,176241,47.27163372881452,3459,348,119,11,10,101064,7,141.5,14.3,36,25
연제구,2021-04-01,1518,245,318,8,206938,48.16998328001624,4343,365,171,46,25,102535,12,128.5,14.7,28,27
영도구,2021-04-01,1028,177,403,0,111335,49.35914133021961,3359,377,118,15,37,33074,1,118.6,14.7,19,20
중구,2021-04-01,1189,246,126,3,41291,72.94083456443293,1732,381,83,10,29,36628,12,118.6,14.7,16,6
해운대구,2021-04-01,3654,436,600,10,399731,48.12361312982981,11159,337,503,41,40,178576,39,141.5,14.2,82,32
강서구,2021-05-01,1713,148,1091,3,140193,51.73938784390091,20454,352,559,284,27,83787,2,135.6,17.6,51,33
금정구,2021-05-01,2011,315,500,7,229639,48.90240769207321,6196,403,172,30,45,88186,5,149.5,17.6,36,24
기장군,2021-05-01,2026,176,774,2,176379,49.53254072196803,15372,344,331,288,29,83025,10,170.5,16.8,40,37
남구,2021-05-01,2073,387,528,6,264613,48.943173615808746,4624,351,237,26,25,99667,9,119.6,17.0,35,42
동구,2021-05-01,971,228,248,6,88015,48.95756405158211,3649,374,82,16,67,54690,13,121.5,17.3,10,13
동래구,2021-05-01,2140,373,565,13,26854,486.55321367394055,4443,404,224,34,15,96923,7,148.5,17.5,41,36
부산진구,2021-05-01,3685,722,661,11,356644,48.28792857863864,6960,403,309,50,57,145373,25,119.6,17.0,87,40
북구,2021-05-01,1857,304,451,10,283101,49.46220606779912,4960,174,259,26,43,104696,7,112.5,17.9,38,20
사상구,2021-05-01,1782,295,491,5,210535,50.49991687842876,6447,442,232,73,63,89321,3,106.0,17.5,47,29
