군구,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
강서구,33,39,19,20,14,12,19,8,7,9,9,2,4,3,3,6,6,6,6,19,9,52,80,56
금정구,46,43,48,32,22,22,19,15,7,17,4,5,2,4,8,8,4,4,10,16,14,32,37,40
기장군,29,33,26,18,12,8,8,12,4,5,2,4,2,4,6,10,7,8,12,3,36,130,112,65
남구,56,56,44,28,35,19,16,15,11,4,1,2,3,5,11,7,11,7,9,7,10,49,67,51
동구,9,13,10,5,8,2,5,4,3,1,0,2,0,1,0,2,2,2,1,2,8,19,25,11
동래구,46,39,25,24,12,12,14,4,7,6,1,3,1,0,5,3,6,3,2,10,6,31,40,86
부산진구,45,41,43,29,28,24,28,26,11,10,9,6,7,5,6,5,7,1,6,10,13,38,69,53
북구,43,28,22,22,16,10,12,5,11,2,5,4,2,2,6,3,7,5,8,13,14,12,28,26
사상구,30,24,22,20,23,11,11,12,8,5,7,6,1,5,3,6,3,6,7,6,13,57,60,34
사하구,41,19,30,20,18,12,6,8,3,5,5,6,3,1,8,2,5,9,6,7,12,47,45,37
서구,7,15,9,6,4,2,3,7,1,2,1,1,2,0,3,0,4,4,5,5,6,22,42,36
연제구,31,34,20,20,20,16,11,10,6,7,3,5,2,4,3,3,4,4,1,5,10,24,48,28
영도구,8,15,9,5,6,1,2,4,3,13,0,1,2,0,1,1,2,3,2,8,13,72,63,19
중구,9,17,7,3,7,2,3,2,1,1,1,3,0,2,1,0,1,1,1,3,5,7,9,17
해운대구,67,45,45,31,18,19,25,12,9,10,5,3,3,2,8,6,7,8,12,17,15,36,72,76
