구군,월요일,화요일,수요일,목요일,금요일,토요일,일요일,Cluster
부산광역시 강서구,144,131,176,163,206,215,184,0
부산광역시 금정구,158,170,163,176,177,256,216,0
부산광역시 기장군,194,224,210,213,232,256,206,2
부산광역시 남구,143,172,184,221,211,282,252,2
부산광역시 동구,57,52,62,45,59,67,54,1
부산광역시 동래구,106,132,165,145,177,214,148,0
부산광역시 부산진구,196,192,197,227,226,271,252,2
부산광역시 북구,84,110,135,117,125,147,141,0
부산광역시 사상구,126,146,170,149,195,206,177,0
부산광역시 사하구,137,136,151,150,166,200,183,0
부산광역시 서구,55,48,59,70,84,74,59,1
부산광역시 연제구,121,137,150,124,136,170,155,0
부산광역시 영도구,64,75,73,81,93,152,125,1
부산광역시 중구,28,41,40,42,32,58,45,1
부산광역시 해운대구,201,217,188,223,239,269,228,2
